index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1,1436,Pub Beer,American Pale Lager,12.0,0.05,,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil's Cup,American Pale Ale (APA),12.0,0.066,,177,18th Street Brewery,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12.0,0.071,,177,18th Street Brewery,Gary,IN
4,2263,Sinister,American Double / Imperial IPA,12.0,0.09,,177,18th Street Brewery,Gary,Denver
5,2262,Sex and Candy,American IPA,12.0,0.075,,177,18th Street Brewery,Gary,IN
6,2261,Black Exodus,Oatmeal Stout,12.0,0.077,,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,18th Street Brewery,Gary,
8,2259,Foreman,American Porter,12.0,0.065,,177,18th Street Brewery,Gary,IN
9,2258,Jade,American Pale Ale (APA),12.0,0.055,,177,18th Street Brewery,KS,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.086,,177,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,,12.0,0.072,,177,18th Street Brewery,Gary,
12,2098,Regional Ring Of Fire,,12.0,0.073,,177,18th Street Brewery,Gary,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street Brewery,Griffin Claw Brewing Company,IN
14,1980,Troll Destroyer,Belgian IPA,12.0,0.085,,177,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60.0,177,1zth Street Brewery,Ggry,IN
16,2318,Ginja Ninja,Cider,12.0,0.06,,154,2 Towns Ciderhouse,La Cumbre Brewing Company,OR
17,2170,Cherried Away,Cider,12.0,0.06,,154,2dTowns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
19,1502,BrightCider,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368,Stevens Point,San Francisco,CA
