tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,Ai-59-JFK-SFO,AA-3859-IAH-ORD,,7:16 a.m.,9:40 a.m.,
2,Ae-222-LAX-BOS,Av-1733-ORD-PHX,7:45 p.m.,,10:30 p.m.,
3,,Aj-1640-MIA-MCO,,6:30 p.m.,,
4,UA-2726-FLL-PHL,AA-518-MIA-JFK,,,,
5,AA-1733-ORD-PHX,An-3756-ORD-SLC,,12:41 p.m.,,
6,UA-828-SFO-ORD,Ag-204-LAX-MCO,,,,
7,aa,Aq-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,,
8,AA-1165-JFK-MIA,Ap-484-DFW-MIA,4:15 p.m.,,,
9,Ae-1279-DFW-PHX,AA-446-DFW-PHL,,,3:50 p.m.,4:09 p.m.
10,,AA-466-IAH-MIA,,6:08 a.m.,,
11,,,,,,1:40 p.m.
12,Ug-843-LAX-ORD,Af-2957-DFW-CVG,7:55 a.m.,,,11:01 a.m.
13,UA-2906-PHL-MCO,As-1664-MIA-ATL,2:59 p.m.,,12:10 p.m.,
14,ae,,10:45 a.m.,,,
15,Ax-4344-ORD-DTW,Ax-1279-DFW-PHX,,,,3:30 p.m.
16,,Ar-616-DFW-DTW,9:05 a.m.,,,
17,,ai,,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,Ur-248-PHX-ORD,An-2525-DFW-MIA,,,11:10 a.m.,
19,,AA-404-MIA-MCO,,,,
20,Aj-3786-IAH-ORD,Ai-271-MIA-LAX,11:35 a.m.,,,
21,,AA-2050-ORD-MIA,10:40 a.m.,,,2:46 p.m.
22,UA-3373-IAD-PHL,Ae-4330-CVG-ORD,,,1:05 p.m.,3:33 p.m.
23,Uz-233-LAX-JFK,Af-1434-DFW-MCO,,7:21 a.m.,,
24,,Ao-4307-ORD-DTW,,6:55 p.m.,6:00 a.m.,8:53 p.m.
25,,Af-3-JFK-LAX,,,,3:16 p.m.
26,Ay-4330-CVG-ORD,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,,
27,,,,,,9:31 a.m.
28,,,4:55 p.m.,,,7:55 p.m.
29,Aw-3-JFK-LAX,Ad-1221-MCO-ORD,,,,
30,ar,Ai-400-DFW-JFK,,,,
31,At-3-JFK-LAX,AA-4198-ORD-CLE,10:40 a.m.,,,
32,Ap-3809-PHX-LAX,Ap-1522-SFO-ORD,6:40 p.m.,,,
33,,Ab-3823-LAX-DEN,,,12:15 a.m.,12:15 a.m.
34,Ax-4277-CVG-JFK,As-2312-DFW-DTW,,,,
35,,At-1165-JFK-MIA,,,,10:04 a.m.
36,,Ae-431-MIA-SFO,10:40 a.m.,8:51 a.m.,,
37,AA-3979-CVG-ORD,AA-649-ORD-SNA,,,3:50 p.m.,
38,,Af-3063-SLC-LAX,,,1:05 p.m.,
39,,,,2:44 p.m.,,3:43 p.m.
40,Aq-3809-PHX-LAX,Ae-1917-JFK-MCO,,,,5:43 p.m.
41,Ao-4198-ORD-CLE,Ai-2268-PHX-ORD,,,,
42,UA-62-IAH-EWR,Aw-4277-CVG-JFK,12:10 p.m.,,,
43,aa,bssinesstravellogue,9:43 a.m.,,,
44,Aw-222-LAX-BOS,AA-415-BOS-ORD,,8:56 a.m.,,
45,,,,,,6:43 p.m.
46,Aq-3979-CVG-ORD,Ak-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,,4:56 p.m.
47,UA-397-JFK-SFO,Ap-3786-IAH-ORD,,,6:40 p.m.,6:15 p.m.
48,,wtnderground,7:10 a.m.,7:31 a.m.,,
49,AA-404-MIA-MCO,Ah-3809-PHX-LAX,,,,
50,,,7:10 a.m.,,,
51,Cn-62-IAH-EWR,At-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,,
52,AA-649-ORD-SNA,Cf-1586-IAH-MCO,,7:14 p.m.,,
53,,,,6:54 a.m.,,
54,helloflight,,8:00 a.m.,,11:55 a.m.,
55,,,,8:42 a.m.,4:25 p.m.,9:43 a.m.
56,CO-1694-LAX-IAH,Aw-1733-ORD-PHX,,7:58 p.m.,,
57,,,3:27 p.m.,,,
58,hwlloflight,,,,2:50 p.m.,
59,hhlloflight,Ab-1544-SAN-ORD,9:54 a.m.,,,
60,Cs-1561-PHX-IAH,Ua-5487-SFO-MRY,,,11:19 a.m.,
61,Af-204-LAX-MCO,AA-204-LAX-MCO,,,,6:55 a.m.
62,AA-466-IAH-MIA,Uz-414-LAX-SFO,,,,
63,As-2957-DFW-CVG,Cc-1614-LAX-IAH,,,5:35 a.m.,
64,,,,,,
65,,,,7:29 a.m.,7:30 a.m.,9:14 a.m.
66,Cs-1088-CLE-IAH,CO-1090-BOS-IAH,,10:19 a.m.,,
67,AA-1733-ORD-PHX,Al-616-DFW-DTW,,10:10 a.m.,,1:27 p.m.
68,,fpylouisville,,8:12 a.m.,10:06 a.m.,
69,,Aw-3468-CVG-MIA,,,,
70,,wynderground,,4:29 p.m.,,
71,,Aq-1886-BOS-MIA,10:45 a.m.,,,
72,AA-518-MIA-JFK,Cx-62-IAH-EWR,,,,
73,Ap-2050-ORD-MIA,Cr-1561-PHX-IAH,,,,
74,Ut-843-LAX-ORD,Us-2314-ATL-PHL,2:55 p.m.,,,
75,,,6:55 a.m.,12:12 p.m.,,
76,Cm-1614-LAX-IAH,Ch-1023-IAH-DEN,,11:56 a.m.,,1:14 p.m.
77,,,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
78,,Ua-3050-PHX-CLT,,,,5:05 p.m.
79,,wvrld-flight-tracker,,,,
80,,,,,,
81,,,,10:18 a.m.,,11:56 a.m.
82,CO-1694-LAX-IAH,Ah-1279-DFW-PHX,,2:04 p.m.,2:35 p.m.,3:30 p.m.
83,,,7:53 a.m.,7:49 a.m.,,
84,Ua-858-PVG-SFO,Ue-382-IAD-LAX,,,,
85,Aj-59-JFK-SFO,Ax-4344-ORD-DTW,,,,
86,,UA-257-JFK-SFO,2:30 p.m.,,,5:42 p.m.
87,Ax-2312-DFW-DTW,Uy-2945-PHL-CLT,,3:11 a.m.,,
88,,Cc-63-EWR-IAH,5:25 p.m.,,8:22 p.m.,
89,,Cy-47-IAH-LAX,,8:25 p.m.,4:00 p.m.,
90,Ak-3786-IAH-ORD,AA-2050-ORD-MIA,,11:05 a.m.,8:55 a.m.,2:46 p.m.
91,At-446-DFW-PHL,Ua-248-PHX-ORD,,1:32 p.m.,,
92,,,,,,
93,,,,,,
94,AA-2268-PHX-ORD,Ap-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,,
95,,Ab-4307-ORD-DTW,,,,
96,hqlloflight,,,,,
97,htlloflight,CO-1694-LAX-IAH,,,,12:21 a.m.
98,helloflight,,1:55 p.m.,2:10 p.m.,,
99,Al-3809-PHX-LAX,CO-1193-EWR-MCO,,,,
100,,,,6:56 a.m.,,7:51 a.m.
101,helloflight,AA-643-MIA-ORD,,,,
102,,Al-1007-MIA-PHX,,,8:05 p.m.,
103,helloflight,Aj-2525-DFW-MIA,2:59 p.m.,7:39 a.m.,,11:06 a.m.
104,,UA-2906-PHL-MCO,3:50 p.m.,4:28 p.m.,,
105,AA-1165-JFK-MIA,Ud-938-DEN-ORD,,4:15 p.m.,,
106,hilloflight,,,,9:45 p.m.,9:53 p.m.
107,,,,,6:44 p.m.,
108,helloflight,Uh-2515-DFW-CLT,,,,
109,,,,,,
110,Ai-85-JFK-SFO,UA-664-ORD-PHL,,,4:31 p.m.,4:23 p.m.
111,,AA-3756-ORD-SLC,,,2:45 p.m.,
112,,Uq-37-EWR-MCO,,1:48 p.m.,,
113,hhlloflight,,11:55 p.m.,,1:33 p.m.,
114,hmlloflight,at,,,,
115,,AA-3823-LAX-DEN,,,12:15 a.m.,
116,Ap-1165-JFK-MIA,An-2312-DFW-DTW,,,,11:50 p.m.
117,Cm-1193-EWR-MCO,AA-1165-JFK-MIA,,7:22 a.m.,,
118,,An-431-MIA-SFO,,8:51 a.m.,,
119,,,,,,9:13 a.m.
120,,AA-649-ORD-SNA,,1:30 p.m.,,
121,Uv-397-JFK-SFO,CO-1250-MIA-IAH,,,,4:59 p.m.
122,Ai-3979-CVG-ORD,UA-6273-YYC-SFO,,,,
123,hwlloflight,Uz-828-SFO-ORD,,,,
124,hflloflight,,,,,
125,helloflight,gsfox,1:45 p.m.,,,8:02 a.m.
126,,,11:15 a.m.,,,
127,,,9:20 a.m.,8:39 p.m.,,
128,,Uu-2708-EWR-CLT,,2:55 p.m.,4:53 p.m.,
129,,,,2:48 p.m.,,
130,As-271-MIA-LAX,UA-1500-IAH-GUA,,,,
131,hmlloflight,,,,4:05 p.m.,
132,helloflight,,,,,
133,helloflight,Aw-2268-PHX-ORD,,7:22 a.m.,,
134,,,,,,
135,,Ao-2957-DFW-CVG,,,11:05 a.m.,
136,hplloflight,Ug-37-EDI-EWR,,8:52 a.m.,11:53 a.m.,
137,,Ap-789-ORD-DEN,1:05 p.m.,,3:27 p.m.,3:13 p.m.
138,,fcytecomm,1:17 p.m.,,,10:16 a.m.
139,hhlloflight,Ar-85-JFK-SFO,,,,
140,An-1917-JFK-MCO,AA-3979-CVG-ORD,,,,
141,,,,,,6:15 p.m.
142,hilloflight,,,,,2:27 p.m.
143,Uu-382-IAD-LAX,Cc-50-CLE-EWR,,,4:49 p.m.,
144,hglloflight,,11:55 a.m.,,11:25 a.m.,5:38 p.m.
145,hplloflight,,,10:54 a.m.,,
146,hclloflight,,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
147,Ue-2830-MCO-CLT,Cv-45-EWR-MIA,,,,6:36 p.m.
148,helloflight,,7:05 p.m.,6:10 a.m.,,
149,halloflight,Ab-59-JFK-SFO,11:35 a.m.,7:39 a.m.,,11:12 a.m.
150,Cp-1193-EWR-MCO,Ad-222-LAX-BOS,,7:31 a.m.,,
151,Af-3809-PHX-LAX,AA-3859-IAH-ORD,,,9:40 a.m.,9:32 a.m.
152,AA-446-DFW-PHL,CO-1586-IAH-MCO,7:00 p.m.,7:14 p.m.,,
153,,Ag-518-MIA-JFK,,6:54 a.m.,,
154,,,6:40 p.m.,8:29 a.m.,,
155,bdston,,8:41 a.m.,8:42 a.m.,9:54 a.m.,
156,Cy-1614-LAX-IAH,Ae-1733-ORD-PHX,,,,
157,,psnynj,,,,
158,Ua-397-JFK-SFO,Up-2830-MCO-CLT,,3:27 p.m.,12:00 p.m.,5:17 p.m.
159,AA-484-DFW-MIA,Cx-58-DEN-IAH,12:35 p.m.,,2:50 p.m.,
160,AA-204-LAX-MCO,Ue-5487-SFO-MRY,12:55 p.m.,,,
161,Ak-4330-CVG-ORD,Ao-204-LAX-MCO,,,6:55 a.m.,
162,brston,Ut-414-LAX-SFO,,,,
163,AA-3063-SLC-LAX,Cv-1614-LAX-IAH,,,7:15 a.m.,
164,boston,,6:55 a.m.,,,
165,,Cf-52-IAH-LAX,9:25 a.m.,,9:21 a.m.,9:14 a.m.
166,beston,travelocity,,,,1:19 p.m.
167,boston,,,,,
168,,,,,,
169,,Aq-3468-CVG-MIA,,7:25 a.m.,,9:45 a.m.
170,bfston,Ap-484-DFW-MIA,1:45 p.m.,,,7:39 p.m.
171,brston,,,,,
172,Am-1733-ORD-PHX,Cn-62-IAH-EWR,,2:48 p.m.,1:05 p.m.,
173,,,,,,
174,,szo,2:55 p.m.,,7:15 a.m.,
175,,Am-446-DFW-PHL,,,,
176,boston,fqightarrival,,11:56 a.m.,,1:14 p.m.
177,blston,,,,,
