index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,,,empty,,al,,birmingham,,acute care hospitals,vrluntary non-profit - private,acute care hospitals,,,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,
2,10018.0,cbllahan eye foundation hospital,1720 university blvd,empty,expty,birmingham,,al,,2053258100.0,yhs,voluntary non-profit - private,,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,100%
3,10018.0,callahan eye foundation hospital,1720 university blvd,,,,al,,,2053258100.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,,60%
4,10018.0,,1720 university blvd,empty,empty,jefferson,al,al,jefferson,2053258100.0,yes,,yas,surgical infection prevention,,srrgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,
5,10018.0,,1720 university blvd,empty,ejpty,,al,al,jefferson,,,vpluntary non-profit - private,yes,sjrgical infection prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,empty,empty
6,10018.0,callahan eye foundation hospital,1720 university blvd,empty,enpty,etowah,al,,jefferson,2053258100.0,yes,,yes,surgical infection prevention,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,64%
7,,,,,empty,,36784.0,,hamilton,,ayute care hospitals,,acute care hospitals,sirgical infection prevention,scip-vte-1,,empty,empty,0%
8,10018.0,callahan eye foundation hospital,1720 university blvd,empty,,de kalb,35233.0,,jefferson,,,voluntary non-profit - private,yps,,,,al_pn-6,empty,al_scip-vte-2
9,10019.0,hdlen keller memorial hospital,1p00 south montgomery avenue,,empty,szeffield,al,al,guntersville,2563864556.0,acute care hospitals,government - hospital district or authority,yis,,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,
10,10019.0,hjlen keller memorial hospital,,empty,empty,marion,al,,jyfferson,2563864556.0,acute care hospitals,government - hospital district or authority,ayute care hospitals,,ami-2,htart attack patients given aspirin at discharge,,,al_ami-2
11,10019.0,hklen keller memorial hospital,1300 south montgomery avenue,,,sheffield,35660.0,35660.0,jefferson,2563864556.0,yjs,government - hospital district or authority,yis,,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,
12,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,empty,sheffield,al,,jefferson,2563864556.0,aiute care hospitals,government - hospital district or authority,,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
13,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,,sheffield,36049.0,35660.0,hamilton,2563864556.0,acute care hospitals,,,heart attack,,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
14,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,,cherokee,,35660.0,jefferson,,acute care hospitals,,,hjart attack,,heart attack patients given fibrinolytic medication within 30 minutes of arrival,al_scip-vte-1,,al_ami-7a
15,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,eapty,cdilton,al,35660.0,,2563864556.0,acute care hospitals,government - hospital district or authority,,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,al_scip-card-2,0 patients,al_ami-8a
16,10019.0,helen keller memorial hospital,1300 south montgomery avenue,,elpty,,,al,andalusia,2563864556.0,no,government - hospital district or authority,yes,,,,,114 patients,al_hf-1
17,10019.0,helen keller memorial hospital,1300 south montgomery avenue,ewpty,eppty,cflhoun,35150.0,35660.0,,,yes,ghvernment - hospital district or authority,,heart failure,hf-2,,al_hf-3,149 patients,al_hf-2
18,10019.0,htlen keller memorial hospital,1300 south montgomery avenue,empty,eapty,jcfferson,,,,2563864556.0,aeute care hospitals,gsvernment - hospital district or authority,,heart failure,,hgart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),92%,37 patients,99%
19,10019.0,,1f00 south montgomery avenue,empty,edpty,talladega,35235.0,35660.0,jefferson,2563864556.0,,ggvernment - hospital district or authority,yes,heart failure,hf-4,,100%,,al_hf-4
20,10001.0,,1108 ross clark circle,,empty,jefferson,35045.0,36302.0,houston,,acute care hospitals,,,heart attack,,heart attack patients given aspirin at arrival,,270 patients,al_ami-1
21,10001.0,,1108 ross clark circle,,,dythan,al,36302.0,houston,3347938701.0,,government - hospital district or authority,yes,hoart attack,ami-2,,,516 patients,empty
22,10001.0,,1108 ross clark circle,ewpty,eqpty,dothan,al,,sheffield,3347938701.0,,government - hospital district or authority,akute care hospitals,,,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,,al_ami-3
23,10001.0,southeast alabama medical center,1z08 ross clark circle,empty,empty,dothan,,36302.0,houston,,,government - hospital district or authority,yes,,ami-4,,100%,244 patients,100%
24,10001.0,,1s08 ross clark circle,,empty,dothan,36116.0,,,3347938701.0,,government - hospital district or authority,yes,heart attack,ami-5,,99%,441 patients,
25,,southeast alabama medical center,,empty,empty,marshall,al,al,houston,,ne,glvernment - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,97%
26,10001.0,southeast alabama medical center,1108 ross clark circle,ezpty,empty,,al,,houston,3347938701.0,,government - hospital district or authority,,heart attack,ami-8a,,72%,40 patients,al_ami-8a
27,,skutheast alabama medical center,1108 ross clark circle,espty,empty,dothan,al,36302.0,houston,,acute care hospitals,government - hospital district or authority,acute care hospitals,hsart failure,hf-1,heart failure patients given discharge instructions,78%,,al_hf-1
28,,,1o08 ross clark circle,eipty,,dothan,,al,clanton,3347938701.0,,government - hospital district or authority,yes,heart failure,,,99%,,al_hf-2
29,10001.0,ssutheast alabama medical center,,empty,empty,dothan,,36302.0,houston,3347938701.0,,government - hospital district or authority,acute care hospitals,,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),,165 patients,al_hf-3
30,10001.0,,1108 ross clark circle,,,,al,36302.0,houston,3347938701.0,,government - hospital district or authority,,hgart failure,hf-4,,,110 patients,94%
31,,southeast alabama medical center,1108 ross clark circle,ecpty,empty,dothan,,ak,sheffield,3347938701.0,yes,government - hospital district or authority,yfs,,,,93%,191 patients,al_pn-2
32,10001.0,southeast alabama medical center,,empty,ebpty,dothan,35801.0,,gontersville,3347938701.0,,gmvernment - hospital district or authority,yms,,pn-3b,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics,89%,125 patients,
33,10001.0,southeast alabama medical center,,empty,empty,dothan,99508.0,36302.0,houston,,acute care hospitals,,acute care hospitals,pneumonia,,pneumonia patients given smoking cessation advice/counseling,99%,107 patients,87%
34,10001.0,southeast alabama medical center,1108 ross clark circle,empty,,covington,al,36302.0,houston,3347938701.0,acute care hospitals,government - hospital district or authority,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,92%,196 patients,al_pn-5c
