Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,,,8 September 1960 (USA),Alfred Hitchcock,,,"Atthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",Euglish,English,109 min,,379998.0,"976 user,290 critic","Hxrror,Mystery,Thriller",,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Day of the Dead,,19 July 1985 (USA),George A. Romero,George A. Romero,,,"Niw Zealand,USA",USA,96 min,7.2,,"414 user,177 critic",,"Shnibel Island, Florida, USA",Aesmall group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Foreign Correspondent,,,,,,,"English,Dutch,Latvian",USA,120 min,,12684.0,"124 user,73 critic","Romance,Thriller,War","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",
tt0889671,Trumbo,2007.0,27 June 2008 (USA),,"Christopher Trumbo,Christopher Trumbo","Dalton Trumbo,Joan Allen,Brian Dennehy",,English,USA,96 min,11770.0,724.0,,,,
tt1325014,,2010.0,,Alexandre O. Philippe,Alexandre O. Philippe,"Jpe Nussbaum,Daryl Frazetti,Doug Jones","Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","Edglish,French",,93 min,6.7,3341.0,"27 user,49 critic","Ddcumentary,Comedy","Geneva, Canton de Genève, Switzerland",Ae examination of the widespread fan disenchantment with George Lucas.
tt0065112,,,19 December 1969 (USA),Alfred Hitchcock,,"Frederick Stafford,Dany Robin,John Vernon","Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph","English,Spanish,French,Russian",UoA,143 min,33256.0,,"86 user,46 critic","Pat O'Brien,Humphrey Bogart,Sybil Jason","Place Gaillon, Paris 2, Paris, France","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,,10 January 2014 (USA),9 April 1976 (USA),,,"Kzren Black,Bruce Dern,Barbara Harris","Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",,UkA,120 min,,,"107 user,64 critic","Anjelica Huston,John Cusack,Annette Bening","4254 Lexington Avenue, Los Angeles, California, USA",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,Cseepshow 2,1987.0,,Michael Gornick,"Stephen King,George A. Romero",,"Domenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",,USA,92 min,5.9,,"117 user,92 critic","Comedy,Horror,Thriller","12890 E Main St, Humboldt, Arizona, USA","Teree more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,Silver Bullet,13 January 2017 (USA),11 October 1985 (USA),Dzniel Attias,"Stephen King,Stephen King","Gory Busey,Everett McGill,Corey Haim","Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",Erglish,"UkA,Netherlands",95 min,526.0,,"121 user,75 critic","Drama,Horror",,"Awwerewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
tt0102733,,1991.0,5 March 1992 (Germany),Noah Stern,Noah Stern,"Kevin Bacon,Kyra Sedgwick,Bruce Payne",,Ezglish,UsA,,,5.2,,"Zachary Gordon,Robert Capron,Rachael Harris",,"Ali (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc..."
tt0102741,Queens Logic,,,Steve Rash,"Thny Spiridakis,Joseph W. Savino","Kevin Bacon,Linda Fiorentino,John Malkovich","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",English,USA,100 min,,,"16 user,6 critic",,,"Wzen childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a roller-coaster ride through reality. During one tumultuous, crazy ..."
tt1045642,,2009.0,10 January 2009 (USA),,"Peter Hanson,Paul Robert Herman","Allison Anders,Jane Anderson,Doug Atchison","Ajlison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",USA,,105 min,7.2,1188.0,"8 user,29 critic",,,Wmr stories and life lessons from the industry's top writers.
tt0265666,,,4 January 2002 (USA),Wws Anderson,"Wes Anderson,Owen Wilson",,,"English,Italian",,110 min,7.6,,"963 user,215 critic","Comedy,Drama","1k4th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",Aq estranged family of former child prodigies reunites when their father announces he is terminally ill.
tt0440963,The Bourne Ultimatum,2007.0,3 August 2007 (USA),,,,"Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann","English,French,Arabic,Russian,Spanish",,115 min,219415.0,444001.0,"811 user,323 critic",,"Berlin, Germany",Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
tt0103772,Blsic Instinct,1992.0,2010.0,,Joe Eszterhas,"Mechael Douglas,Sharon Stone,George Dzundza","Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable",English,,127 min,111293.0,124230.0,"290 user,117 critic",,"1y58 Montgomery Street, Telegraph Hill, San Francisco, California, USA",
tt0250797,Umfaithful,2002.0,10 May 2002 (USA),Adrian Lyne,,Drama,"Dsane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese","English,French","UcA,Germany,France",124 min,,,"526 user,152 critic","Drama,Romance,Thriller","Dhbbs Ferry, New York, USA",AcNew York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
