id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Lkte repair of injuries of the anal sphincter,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Proc R Soc Med,,,64.0,9.0,,1187-9,
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,,The Journal of infectious diseases,0195-668X,1537-6613,,143.0,2/15/04,,
789958,,eng,eng,Indian J Ophthalmol,,54.0,4.0,7.0,,
169865,,,,0098-4108 (Print)     0098-4108 (Linking),,2.0,,,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,,Drrmatologic clinics,,,,,1/15/10,835-40,
98234,"Pwegabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,1440-1843,,1/1/99,4.0,1/9/01,185-91,
823730,,,Br Med Bull,0033-8419,0007-1420,,2.0,1/1/73,,
729712,,English; ABSTRACT LANGUAGE:English,,-10475,,0.0,1.0,4.0,,
396821,Awareness of deficits and on-road driving performance,,,,Vet Clin Pathol,,7.0,1/11/01,,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,Afcomparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,1/1/86,,,158-61,
184417,,,,,1361-9209,14.0,289.0,1/9/01,,"{pJ. L. Li"",""P. Newcomb""}"
729686,Ldcal anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,,1940-5901,8.0,6.0,34.0,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
278396,,,,,0001-6349 (Print) 0001-6349,5.0,6.0,26.0,711-5,"{aT. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,European journal of applied physiology and occupational physiology,Heart Rhythm,,,0.0,5.0,0.0,,"{""C. Hamilton-Craig"",""S. Bartoletti"",""M. Casella"",""F. Perna"",""M. L. Narducci"",""P. Santangeli"",""F. Pintus"",""A. Natale"",""A. Dello Russo"",""G. Pelargonio"",""G. Bencardino"",""J. D. Burkhardt"",""F. Bellocci"",""L. Di Biase""}"
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,0.0,8.0,119.0,1245-50,"{fT. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
13601,,Bkoelectromagnetics,British Journal of Dermatology. ,,Neuroscience,3/14/10,5.0,,919-21,
668310,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",,,,1178-1998,7.0,151.0,1/12/01,185-90,
282987,,eng,,,1469-493X,1/1/91,,1/5/01,Cd004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
478292,,Alcohol Clin Exp Res,,,Jan-68,,,1/1/97,257-8,"{rY Takagi"",""N Hashimoto"",""Y Goto""}"
43736,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Mldicine and science in sports and exercise,0035-8843,0195-9131,39.0,34.0,,,"{""James C Martin"",""Ian Mayhew"",""Lee M Romer"",""Thomas Korff""}"
82614,,eng,"Cancer prevention research (Philadelphia, Pa.)",,,1/10/11,,1/13/12,1304-16,
163526,A performance improvement process to tackle tachysystole,,,1471-2377,,,,1/11/01,512-9 ST  - A performance improvement process to tackle tachysystole-,
514411,,,Cardiovascular and interventional radiology,0951-7375,,,8.0,1/14/12,,"{cLuca Maria Sconfienza"",""Ezio Lanza"",""Gianpaolo Cornalba"",""Dario Poretti"",""Catherine Cyteval"",""Pierre Viala"",""Francesco Sardanelli"",""Yann Thouvenin""}"
569841,,,,J. Clin. Oncol.,,,,5/20/09,,"{""Ariela Noy"",""Lawrence D Kaplan"",""Yanxing Yu"",""Alexandra M Levine"",""Richard F Ambinder"",""Susan E Krown"",""Bruce J Dezube"",""Lan Lin"",""Jeannette Y Lee"",""Gary S Hayward""}"
6207,,,Sgandinavian Journal of Gastroenterology,,,1/1/00,,,785-794,"{""Kaija Leena Kolho"",""Hanne Rintamaki"",""Taina Tervahartiala"",""Timo Sorsa"",""Laura Makitalo""}"
21910,Eoamining waiting placement in hospital: utilization and the lived experience.,eng,Global journal of health science,,,3.0,2.0,,22-Dec,
378490,,,Tie Journal of clinical psychiatry,J Clin Psychiatry,,3/1/99,,1/8/12,1892-900,"{dIsabella Soreca"",""Andrea Fagiolini"",""David J Kupfer"",""Bret H Goodpaster"",""Sara B Fleet-Michaliszyn"",""Amy D Otto"",""John M Jakicic""}"
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,,,1433-7347,,,11.0,1/1/86,1074-1077,"{hS. Srikanta"",""O. P. Ganda"",""R. E. Gleason""}"
793918,,eng,,PhoS one,1932-6203,,9.0,,e75079,"{""Tina M Blackmore"",""Kirsty Dougal"",""Hilary J Worgan"",""Eric Pinloche"",""Gemma Curtis"",""C Jamie Newbold"",""Neil R McEwan"",""Susan E Girdwood"",""Pat A Harris"",""Caroline McG Argo"",""Alex Dugdale""}"
819166,"Rksponses to open peer commentaries on ""the subjective brain, identity, and neuroethics""",,Aeerican Journal of Bioethics,,15265161 (ISSN),,,3.0,W1-W4,
880881,,,,1053-8135,1598-9992,52.0,,1/8/12,384-8,"{""Seung Woo Park"",""Jae Bock Chung"",""Sang Kyum Kim"",""Si Young Song"",""Joo Won Chung"",""Ho Keun Kim"",""Joo Hee Seo"",""Seungmin Bang""}"
629530,,,Eur. Heart J.,,,,,1/7/09,2077-86,
954388,,,,,,,0.0,1/1/74,46,"{""Marilou Madden""}"
379737,Bone density and body composition in young women with chronic fatigue syndrome.,eng,English,,,1.0,,5/1/00,625-7,
676042,Pmognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,eng,,,1532-8511,,,1/15/02,,"{""Yan-Xin Zhao"",""Jun-Chao Xie"",""Xue-Yuan Liu"",""Han Yan""}"
353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",,eng,,1745-0128 1745-0136,,,1/8/01,243-248,"{sB O Olley""}"
968125,Successful treatment of lung cancer by multimodal endobronchial interventions,English,,Rbspiration,,1/5/01,2.0,,144-147,"{""T. Nakajima"",""I. Yoshino"",""K. Yasufuku"",""S. Yoshida"",""Y. Sakairi"",""K. Shibuya""}"
660168,,,eng,Neurosurgery,,1/14/01,63.0,1/9/02,,"{""R Loch Macdonald"",""Farbod Asgarzadie-Gadim"",""Yeon Gyoe Jang"",""Daniel J Curry"",""Rachel N Yanowitch"",""Kim E Schultheiss"",""Jocelyn Tolentino"",""J_rgen L_ders""}"
732534,,,,Health Facil Manage,0899-6210,,10.0,,"20-6, 28","{eK. Sandrick""}"
473026,The incidence of contrast-induced nephropathy in trauma patients.,Bvood pressure monitoring,Eyropean journal of emergency medicine : official journal of the European Society for Emergency Medicine,Eur J Emerg Med,,15.0,,1/8/06,,
372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,,eng,,0360-3016,6.0,1.0,,,
110072,,,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,,Annals of the rheumatic diseases,1/14/01,10.0,,,"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}"
330553,,,Iqtensivmedizin und Notfallmedizin,,0175-3851,1/6/01,42.0,,655-663,"{bG. Peters"",""K. Becker"",""C. Von Eiff""}"
23215,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,,Journal of the American Board of Family Medicine : JABFM,,,27.0,1.0,1/14/01,,
719532,Mzthodology to estimate building energy consumption using EnergyPlus Benchmark Models,Acta paediatrica Scandinavica. Supplement,Energy and Buildings,,0378-7788,,12.0,1/10/01,,
86421,Evidence that serum levels of the soluble receptor for advanced glycation end products are inversely associated with pancreatic cancer risk: a prospective study.,eng,Cqncer research,0894-587X,1538-7445,71.0,10.0,,Sep-82,"{""Stephanie J Weinstein"",""Rachael Z Stolzenberg-Solomon"",""Philip R Taylor"",""Barry I Graubard"",""Jarmo Virtamo"",""Demetrius Albanes"",""Li Jiao""}"
433667,,Ann Rheum Dis,,1017-7833,,1/1/98,0.0,,,{NULL}
530323,,,,,,,,,CD002843,"{tCatherine Mathews"",""Moleen Zunza"",""Adel Ferreira"",""Nicola Low"",""Taryn Young""}"
102893,A cohort study of the prevalence and impact of comorbid medical conditions in pediatric bipolar disorder.,Rpvista latino-americana de enfermagem,Twe Journal of clinical psychiatry,J Clin Psychiatry,1555-2101,71.0,11.0,4.0,,"{""Roger S McIntyre"",""Avnish Tripathi"",""Jeanette M Jerrell""}"
864817,Are tkis still active in patients treated with tki and everolimus? Experience from 36 patients treated in france in the record 1 trial,,,,,,,,viii284,"{""B. Escudier"",""A. Ravaud"",""F. Rolland"",""A. Blesius"",""B. Beuzelink"",""S. Oudard"",""C. Chevreau""}"
217725,Ule of alendronate in peri-implant defect regeneration,The journal of ECT,,,,70.0,0.0,11.0,,"{""P. C. Wollan"",""S. J. Meraw"",""C. M. Reeve""}"
730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",,,Ann R Coll Surg Engl,Med Sci Sports Exerc,4.0,5.0,4.0,324-326,
659297,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.,Juurnal of cardiovascular electrophysiology,American Journal Of Physical Medicine & Rehabilitation / Association Of Academic Physiatrists,Am J Phys Med Rehabil,1537-7385,91.0,127.0,18.0,984-98,
42247,"Gznder differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.",Prvention de l'insuffisance rnale induite par les produits de contrnste iodes,Journal of science and medicine in sport / Sports Medicine Australia,J Sci Med Sport,,,6.0,-1.0,597-601,
