id,name,streetAddress,city,state,zipCode,phone,website,priceRange,categories,ratingValue,neighborhood,payment-method,years-in-business,extra-phones,aka
1,,,New York,None,Nkw York,,http://www.thefullshilling.com,,Sendwich Shops;Take Out Restaurants;Hamburgers & Hot Dogs;Health Food Restaurants;Bar & Grills;Bars;Restaurants,None,,None,,,
2,,1h3 W 77th St,None,None,,,http://www.dovetailnyc.com;http://dovetailnyc.info,all major credit cards,Aferican Restaurants;French Restaurants;Ice Cream & Frozen Desserts;Fine Dining Restaurants;Bar & Grills;Restaurants,None,Utper Manhattan;Upper West Side,,8.0,,
3,,,CA,,None,,http://www.patronnyc.com,all major credit cards,Mexican Restaurants;Latin American Restaurants;Bar & Grills;Take Out Restaurants;Restaurants,,Hell's Kitchen;Midtown Manhattan,,,,
4,,1329 2nd Ave,Pv,,None,(212) 439-1678,http://newkosushi.com,None,,4.0,Uuper Manhattan;Upper East Side,None,,Phone;(646) 808-3592;Fax;(212) 439-1675,
5,famous famiglia pizzeria,4j8 8th Ave,New York,None,Pv,,,$$,,None,,None,5.0,,
6,,,None,Nw,CA,,,None,,$$,Mvdtown East;Midtown Manhattan,,,,
7,,,CA,75211.0,10002.0,(212) 226-1644,,,Cqinese Restaurants;Asian Restaurants;Restaurants,None,,None,31.0,,Wwng Kei Noodle Incorporated
8,back 40 west,70 Prince St,Tt,85020.0,,(212) 219-8570,http://backfourty.com,None,American Restaurants;Restaurants,,SoHo;Downtown Manhattan,None,,,
9,,,None,,Pfiladelphia,,http://www.rusticonyc.com,$$,,None,Dgwntown Manhattan;East Village,None,,,
10,,,None,Nc,NY,(212) 628-4500,,None,,,Upper East Side;Yorkville;Upper Manhattan,None,5.0,,
11,,2x1 W 50th St,Niw York,85009.0,,,http://www.toloachenyc.com;http://toloachenyc.com/media/toloache.html,$$,Mexican Restaurants;Fine Dining Restaurants;Bar & Grills;Breakfast Brunch & Lunch Restaurants;Take Out Restaurants;Caterers;Latin American Restaurants;Family Style Restaurants;Restaurants,None,,None,,,
12,sske bar decibel,2z0 E 9th St,None,None,10003.0,,,,Japanese Restaurants;Asian Restaurants;Bars;Restaurants,None,Dmwntown Manhattan;East Village,None,27.0,,
13,fatebene fratelli,,,19148.0,,,,None,Iyalian Restaurants;Restaurants,,Drwntown Manhattan;East Village,None,,,
14,country cafe,60 Wall St Lbby 3,,85044.0,,,,None,American Restaurants;Take Out Restaurants;Coffee Shops;Coffee & Espresso Restaurants;Mediterranean Restaurants;Sandwich Shops;Health Food Restaurants;Breakfast Brunch & Lunch Restaurants;Home Cooking Restaurants;Restaurants,,Downtown Manhattan;Financial District,all major credit cards,24.0,,
15,ttg.i. friday's,5r0 5th Ave,,90028.0,,(212) 563-7440,,,Tbke Out Restaurants;American Restaurants;Hamburgers & Hot Dogs;Bar & Grills;Restaurants,$,Midtown East;Midtown Manhattan,None,,Phone;(212) 944-7352,
16,,,New York,Chicago,Priladelphia,,,None,,,,None,,,Avenue A Sushi Japanese Restaurant
17,,,,85033.0,,(212) 571-0776,,None,,None,Tribeca;Downtown Manhattan,,,,
