Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.png
Program completed in: 13.42579960823059 seconds
mn act_dep_time
Starting DBSCAN clustering at 2024-10-17 22:09:26
Clusters: 69, eps: 0.1, min_samples: 5, Silhouette: -0.07031436892582889, DB Score: 1.15903941507294, Combined Score: 1.8677350090398421
Clusters: 27, eps: 0.1, min_samples: 10, Silhouette: -0.1941587978838895, DB Score: 1.2649183270410478, Combined Score: 1.6516838674856806
Clusters: 10, eps: 0.1, min_samples: 15, Silhouette: -0.2716203481394082, DB Score: 1.4210727530929401, Combined Score: 1.5226411410460585
Clusters: 6, eps: 0.1, min_samples: 20, Silhouette: -0.26935225682576924, DB Score: 1.60363222356678, Combined Score: 1.5138469681452926
Clusters: 3, eps: 0.1, min_samples: 25, Silhouette: -0.26309190785983816, DB Score: 1.4746073675868931, Combined Score: 1.531286129390458
Clusters: 54, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.2899354644972874, DB Score: 1.1038647329165117, Combined Score: 2.642262616299464
Clusters: 26, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.12622602702599547, DB Score: 1.1690316727730394, Combined Score: 2.2519972028527246
Clusters: 20, eps: 0.15000000000000002, min_samples: 15, Silhouette: -0.01196854751057954, DB Score: 1.260245857102844, Combined Score: 1.9652345913759075
Clusters: 12, eps: 0.15000000000000002, min_samples: 20, Silhouette: -0.08230716374747434, DB Score: 1.3420032625766831, Combined Score: 1.8308518980266528
Clusters: 5, eps: 0.15000000000000002, min_samples: 25, Silhouette: -0.13252358827932506, DB Score: 1.458880393904758, Combined Score: 1.7363753372262005
Clusters: 44, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.41722786073148865, DB Score: 1.0548491813266363, Combined Score: 2.9924408371016074
Clusters: 28, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.3291264828870173, DB Score: 1.141185590655407, Combined Score: 2.740251438118588
Clusters: 19, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.1876570745976469, DB Score: 1.1885707093219116, Combined Score: 2.3869691039895025
Clusters: 10, eps: 0.20000000000000004, min_samples: 20, Silhouette: 0.0930436869912944, DB Score: 1.3220954680972548, Combined Score: 2.16831127028027
Clusters: 11, eps: 0.20000000000000004, min_samples: 25, Silhouette: 0.054002035778913764, DB Score: 1.3245202321128287, Combined Score: 2.088156472610209
Clusters: 39, eps: 0.25000000000000006, min_samples: 5, Silhouette: 0.46124447100471966, DB Score: 1.0322871976416181, Combined Score: 3.124782458546481
Clusters: 25, eps: 0.25000000000000006, min_samples: 10, Silhouette: 0.3734123562399212, DB Score: 1.1419026547717928, Combined Score: 2.8599250449532767
Clusters: 20, eps: 0.25000000000000006, min_samples: 15, Silhouette: 0.32462426808950123, DB Score: 1.1852267780341879, Combined Score: 2.724243488459251
Clusters: 14, eps: 0.25000000000000006, min_samples: 20, Silhouette: 0.21896699411605947, DB Score: 1.241944030641125, Combined Score: 2.455230046551393
Clusters: 8, eps: 0.25000000000000006, min_samples: 25, Silhouette: 0.15134302140333392, DB Score: 1.3924924147543434, Combined Score: 2.288242679506566
Clusters: 36, eps: 0.30000000000000004, min_samples: 5, Silhouette: 0.48513059018975097, DB Score: 1.0577921421956913, Combined Score: 3.1950458752798863
Clusters: 24, eps: 0.30000000000000004, min_samples: 10, Silhouette: 0.415127400862757, DB Score: 1.1307889353773788, Combined Score: 2.9787412116853274
Clusters: 18, eps: 0.30000000000000004, min_samples: 15, Silhouette: 0.3441241155212553, DB Score: 1.2016297650454315, Combined Score: 2.7745894638721285
Clusters: 15, eps: 0.30000000000000004, min_samples: 20, Silhouette: 0.3082092737321322, DB Score: 1.2085352489896115, Combined Score: 2.67927035111068
Clusters: 10, eps: 0.30000000000000004, min_samples: 25, Silhouette: 0.23746710808889782, DB Score: 1.3043960618830215, Combined Score: 2.4942111981647206
Clusters: 30, eps: 0.3500000000000001, min_samples: 5, Silhouette: 0.49231292738496824, DB Score: 1.092219309586251, Combined Score: 3.2138003991968764
Clusters: 23, eps: 0.3500000000000001, min_samples: 10, Silhouette: 0.45160801340577356, DB Score: 1.123947128909489, Combined Score: 3.0864809618674944
Clusters: 13, eps: 0.3500000000000001, min_samples: 15, Silhouette: 0.36824335439561134, DB Score: 1.275103217168326, Combined Score: 2.8337312613840067
Clusters: 15, eps: 0.3500000000000001, min_samples: 20, Silhouette: 0.3395399286641496, DB Score: 1.2459404390844164, Combined Score: 2.7584018872875213
Clusters: 14, eps: 0.3500000000000001, min_samples: 25, Silhouette: 0.2702729321253489, DB Score: 1.224093946045854, Combined Score: 2.581484390616142
Clusters: 31, eps: 0.40000000000000013, min_samples: 5, Silhouette: 0.5076388187889329, DB Score: 1.0787418760807548, Combined Score: 3.2632453942800366
Clusters: 23, eps: 0.40000000000000013, min_samples: 10, Silhouette: 0.4651525984796809, DB Score: 1.1073863171644176, Combined Score: 3.128869002142371
Clusters: 12, eps: 0.40000000000000013, min_samples: 15, Silhouette: 0.39510908499073755, DB Score: 1.3147106577954744, Combined Score: 2.9053559308921986
Clusters: 13, eps: 0.40000000000000013, min_samples: 20, Silhouette: 0.35490203892598704, DB Score: 1.2889045715700758, Combined Score: 2.7961385888216626
Clusters: 10, eps: 0.40000000000000013, min_samples: 25, Silhouette: 0.29091863159500714, DB Score: 1.3137374045693848, Combined Score: 2.6259317506219535
Clusters: 28, eps: 0.45000000000000007, min_samples: 5, Silhouette: 0.5121869272213446, DB Score: 1.0945775171615764, Combined Score: 3.2760531727409683
Clusters: 21, eps: 0.45000000000000007, min_samples: 10, Silhouette: 0.4736517507585528, DB Score: 1.118683868673019, Combined Score: 3.1536154001024106
Clusters: 14, eps: 0.45000000000000007, min_samples: 15, Silhouette: 0.4120702403550721, DB Score: 1.2576296628942962, Combined Score: 2.958408813698041
Clusters: 11, eps: 0.45000000000000007, min_samples: 20, Silhouette: 0.3820308851118882, DB Score: 1.3319858613188575, Combined Score: 2.86727344935726
Clusters: 8, eps: 0.45000000000000007, min_samples: 25, Silhouette: 0.33401604321421363, DB Score: 1.4031199650962594, Combined Score: 2.7311297641742236
Clusters: 27, eps: 0.5000000000000001, min_samples: 5, Silhouette: 0.5187008348016441, DB Score: 1.0745101110143531, Combined Score: 3.298841781614265
Clusters: 20, eps: 0.5000000000000001, min_samples: 10, Silhouette: 0.47544723264485583, DB Score: 1.1208325269870114, Combined Score: 3.1588962372965996
Clusters: 15, eps: 0.5000000000000001, min_samples: 15, Silhouette: 0.4195125616969932, DB Score: 1.2522966294072968, Combined Score: 2.980327305438463
Clusters: 12, eps: 0.5000000000000001, min_samples: 20, Silhouette: 0.39512208545888444, DB Score: 1.3152629685734083, Combined Score: 2.9053481697616967
Clusters: 10, eps: 0.5000000000000001, min_samples: 25, Silhouette: 0.3616492241236849, DB Score: 1.3619083179656548, Combined Score: 2.808688445666495
Clusters: 27, eps: 0.5500000000000002, min_samples: 5, Silhouette: 0.5193089030255398, DB Score: 1.0727602615117084, Combined Score: 3.3009654139535027
Clusters: 21, eps: 0.5500000000000002, min_samples: 10, Silhouette: 0.4864538206905388, DB Score: 1.1457750822241601, Combined Score: 3.1903652632755493
Clusters: 15, eps: 0.5500000000000002, min_samples: 15, Silhouette: 0.43773091005197073, DB Score: 1.2402012131340565, Combined Score: 3.034588473984941
Clusters: 12, eps: 0.5500000000000002, min_samples: 20, Silhouette: 0.4017369069556596, DB Score: 1.3125609018489848, Combined Score: 2.9243137019766348
