Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_arr_time
Target column act_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.png
Program completed in: 15.428985357284546 seconds
494879109401218, Weighted Score: 8.011689535275485
Cluster count: 6, Silhouette Score: 0.25407629837769463, Davies-Bouldin Score: 1.7019818958364026, Weighted Score: 6.907916318925068
Cluster count: 7, Silhouette Score: 0.2497419380096647, Davies-Bouldin Score: 1.596109241288408, Weighted Score: 5.803414717806836
Cluster count: 8, Silhouette Score: 0.259270871465187, Davies-Bouldin Score: 1.4980902359731902, Weighted Score: 4.733063365167
Cluster count: 9, Silhouette Score: 0.2685016017156495, Davies-Bouldin Score: 1.6739752979010278, Weighted Score: 3.6451147515600604
Cluster count: 10, Silhouette Score: 0.28919045849907576, Davies-Bouldin Score: 1.623915688414106, Weighted Score: 2.600030389420687
Cluster count: 11, Silhouette Score: 0.3008809480239905, Davies-Bouldin Score: 1.5884761685111286, Weighted Score: 2.632042365116598
Cluster count: 12, Silhouette Score: 0.3364909051103205, Davies-Bouldin Score: 1.5369062828471831, Weighted Score: 2.728479532516421
Cluster count: 13, Silhouette Score: 0.35110640949828376, Davies-Bouldin Score: 1.5068055872354915, Weighted Score: 2.769672084560641
Cluster count: 14, Silhouette Score: 0.3567861030422002, Davies-Bouldin Score: 1.5027514305514373, Weighted Score: 2.7853391300718227
Cluster count: 15, Silhouette Score: 0.35225087013818046, Davies-Bouldin Score: 1.4697574909497475, Weighted Score: 2.7752768868301523
Cluster count: 16, Silhouette Score: 0.3554387802081385, Davies-Bouldin Score: 1.3962914084831262, Weighted Score: 2.7891776198777407
Cluster count: 17, Silhouette Score: 0.3634804919886557, Davies-Bouldin Score: 1.3603602474787255, Weighted Score: 2.813814818032673
Cluster count: 18, Silhouette Score: 0.3583338795525045, Davies-Bouldin Score: 1.33282913055558, Weighted Score: 2.8019140489201018
Cluster count: 19, Silhouette Score: 0.37721500339747044, Davies-Bouldin Score: 1.3001417848078816, Weighted Score: 2.8564408049927486
Cluster count: 20, Silhouette Score: 0.3985011659228719, Davies-Bouldin Score: 1.2837003004844505, Weighted Score: 2.9174916273837255
Cluster count: 21, Silhouette Score: 0.40600866136742364, Davies-Bouldin Score: 1.273815572690451, Weighted Score: 2.9396763880808474
Cluster count: 22, Silhouette Score: 0.4092722675216464, Davies-Bouldin Score: 1.3103295773347836, Weighted Score: 2.9460023533786157
Cluster count: 23, Silhouette Score: 0.4040589375856091, Davies-Bouldin Score: 1.3049610934784335, Weighted Score: 2.9315401799039202
Cluster count: 24, Silhouette Score: 0.4020187654313468, Davies-Bouldin Score: 1.2721367715986172, Weighted Score: 2.9284459700786027
Cluster count: 25, Silhouette Score: 0.4090069592200413, Davies-Bouldin Score: 1.2477327063559376, Weighted Score: 2.950469517856608
Cluster count: 26, Silhouette Score: 0.4218483306099864, Davies-Bouldin Score: 1.2336976936789923, Weighted Score: 2.988706123997059
Cluster count: 27, Silhouette Score: 0.44928645399316375, Davies-Bouldin Score: 1.194031321362621, Weighted Score: 3.07295076602513
Cluster count: 28, Silhouette Score: 0.4500546357245149, Davies-Bouldin Score: 1.158752982818326, Weighted Score: 3.0785064121318033
Cluster count: 29, Silhouette Score: 0.45548451054672, Davies-Bouldin Score: 1.1507286557602905, Weighted Score: 3.0955137324643967
Cluster count: 30, Silhouette Score: 0.4624277696994592, Davies-Bouldin Score: 1.130887303270564, Weighted Score: 3.1183223010713554
Cluster count: 31, Silhouette Score: 0.46893369111560174, Davies-Bouldin Score: 1.1044101980521688, Weighted Score: 3.140641875885028
Cluster count: 32, Silhouette Score: 0.47067205490294145, Davies-Bouldin Score: 1.0930255987357693, Weighted Score: 3.1470715662450917
Cluster count: 33, Silhouette Score: 0.4819418794323742, Davies-Bouldin Score: 1.0716963991377126, Weighted Score: 3.1837673172735443
Cluster count: 34, Silhouette Score: 0.4873492382105728, Davies-Bouldin Score: 1.0674031343821486, Weighted Score: 3.200914714090245
Cluster count: 35, Silhouette Score: 0.4989521474149851, Davies-Bouldin Score: 1.0332176023637967, Weighted Score: 3.240654796362862
Cluster count: 36, Silhouette Score: 0.5086825293466003, Davies-Bouldin Score: 1.0061712843201338, Weighted Score: 3.2742244633770055
Cluster count: 37, Silhouette Score: 0.5139746688151666, Davies-Bouldin Score: 0.9935770219312172, Weighted Score: 3.292406176079171
Cluster count: 38, Silhouette Score: 0.5455962931022245, Davies-Bouldin Score: 0.9675982716119581, Weighted Score: 3.3975358820825394
Cluster count: 39, Silhouette Score: 0.5528949518178323, Davies-Bouldin Score: 0.9503162149915533, Weighted Score: 3.423576221393857
Cluster count: 40, Silhouette Score: 0.5540941293250375, Davies-Bouldin Score: 0.9304476490994155, Weighted Score: 3.4298725024348875
Cluster count: 41, Silhouette Score: 0.571834175897795, Davies-Bouldin Score: 0.9075489783053362, Weighted Score: 3.4918843744903745
Cluster count: 42, Silhouette Score: 0.5789116417150038, Davies-Bouldin Score: 0.895008859257453, Weighted Score: 3.51735352156264
Cluster count: 43, Silhouette Score: 0.588593810722028, Davies-Bouldin Score: 0.8672206196013584, Weighted Score: 3.553836001003031
Cluster count: 44, Silhouette Score: 0.5904901721885571, Davies-Bouldin Score: 0.856469394704713, Weighted Score: 3.5617048615454836
Cluster count: 45, Silhouette Score: 0.6024255477107964, Davies-Bouldin Score: 0.837603603893134, Weighted Score: 3.605366469908138
Cluster count: 46, Silhouette Score: 0.6194441555434655, Davies-Bouldin Score: 0.8226266559324864, Weighted Score: 3.6669805483807476
Cluster count: 47, Silhouette Score: 0.621571587464187, Davies-Bouldin Score: 0.8139261116643379, Weighted Score: 3.675661031827931
Cluster count: 48, Silhouette Score: 0.6383547935554028, Davies-Bouldin Score: 0.7966465665073673, Weighted Score: 3.7379381034084633
Cluster count: 49, Silhouette Score: 0.6456748389596801, Davies-Bouldin Score: 0.7880714159471872, Weighted Score: 3.76557147930471
Cluster count: 50, Silhouette Score: 0.6479169903865716, Davies-Bouldin Score: 0.773480374156454, Weighted Score: 3.775722771838083
