Data loaded successfully.
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_OPTICS.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_OPTICS.png
Program completed in: 357.06288290023804 seconds
 has been encoded
Starting OPTICS clustering, current time: 2024-10-17 22:51:41
Clusters: 49, min_samples: 5, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.14814202996620576, Davies-Bouldin Score: 1.0968268977091913, Combined Score: 2.306810069328425
Clusters: 28, min_samples: 5, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.24857041575475755, Davies-Bouldin Score: 1.248752373609003, Combined Score: 2.525808489425086
Clusters: 10, min_samples: 5, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.22816820096520282, Davies-Bouldin Score: 1.5483645842334537, Combined Score: 2.4542563988902093
Clusters: 47, min_samples: 5, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: 0.14572170051495717, Davies-Bouldin Score: 1.1191644947165833, Combined Score: 2.299262808977058
Clusters: 26, min_samples: 5, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: 0.19871783961410328, Davies-Bouldin Score: 1.2553689832963077, Combined Score: 2.4065951135636983
Clusters: 8, min_samples: 5, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.1220933263903662, Davies-Bouldin Score: 1.6305962473829008, Combined Score: 0.00863750023614207
Clusters: 43, min_samples: 5, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: 0.07299147321290737, Davies-Bouldin Score: 1.0532157508884927, Combined Score: 2.1515239593603566
Clusters: 22, min_samples: 5, xi: 0.1, min_cluster_size: 0.02, Silhouette Score: 0.15681065686306236, Davies-Bouldin Score: 1.2315195761579008, Combined Score: 2.3133976098997957
Clusters: 7, min_samples: 5, xi: 0.1, min_cluster_size: 0.05, Silhouette Score: 0.1546455818395025, Davies-Bouldin Score: 1.6142715923067863, Combined Score: -1.0192602412687446
Clusters: 46, min_samples: 10, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.19808717418248156, Davies-Bouldin Score: 1.1309810103541715, Combined Score: 2.416455485096387
Clusters: 27, min_samples: 10, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.29242903300317885, Davies-Bouldin Score: 1.2088009285284305, Combined Score: 2.6387015240921006
Clusters: 9, min_samples: 10, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.17279685978443557, Davies-Bouldin Score: 1.55430593968281, Combined Score: 1.2251125031802572
Clusters: 44, min_samples: 10, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: 0.22231754600440612, Davies-Bouldin Score: 1.1373754217512408, Combined Score: 2.4727306145688113
Clusters: 26, min_samples: 10, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: 0.2777793194436654, Davies-Bouldin Score: 1.2587584640708458, Combined Score: 2.5972650431240574
Clusters: 7, min_samples: 10, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.06546001364762255, Davies-Bouldin Score: 1.6631583953773026, Combined Score: -1.211616580393839
Clusters: 42, min_samples: 10, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: 0.16673622277483674, Davies-Bouldin Score: 1.0977077792028123, Combined Score: 2.34813623194794
