Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_38.92%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_DBSCAN.png
Program completed in: 11.895586490631104 seconds
ht
Starting DBSCAN clustering at 2024-10-17 23:21:36
Clusters: 135, eps: 0.1, min_samples: 5, Silhouette: 0.2913545456938772, DB Score: 0.984721220073067, Combined Score: 2.658460470389037
Clusters: 43, eps: 0.1, min_samples: 10, Silhouette: -0.11840013532616386, DB Score: 1.053752356469866, Combined Score: 1.7949200702704018
Clusters: 9, eps: 0.1, min_samples: 15, Silhouette: -0.2343969926004464, DB Score: 1.1826961173047061, Combined Score: 1.5971388559304944
Clusters: 108, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.4105148224256791, DB Score: 0.9711517538750887, Combined Score: 2.9822392493876992
Clusters: 53, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.10616317216623525, DB Score: 1.033630600208018, Combined Score: 2.222630821270418
Clusters: 24, eps: 0.15000000000000002, min_samples: 15, Silhouette: -0.10767724011173321, DB Score: 1.0780217903335447, Combined Score: 1.8106351073265015
Clusters: 9, eps: 0.15000000000000002, min_samples: 20, Silhouette: -0.19265892607127777, DB Score: 1.1765497573066552, Combined Score: 1.6618594600644758
Clusters: 4, eps: 0.15000000000000002, min_samples: 25, Silhouette: -0.20068641546887944, DB Score: 1.2484805358529953, Combined Score: 1.6428918033261577
Clusters: 78, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.4560167020646222, DB Score: 0.9443560010383053, Combined Score: 3.1188681949835737
Clusters: 51, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.20984182476926272, DB Score: 1.058012776515906, Combined Score: 2.4512114734002948
Clusters: 29, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.047892169280832904, DB Score: 1.0571708444934604, Combined Score: 2.1003750245581894
Clusters: 15, eps: 0.20000000000000004, min_samples: 20, Silhouette: -0.11466965085703987, DB Score: 1.1432000224615924, Combined Score: 1.7922886370238265
Clusters: 8, eps: 0.20000000000000004, min_samples: 25, Silhouette: -0.17985038174091106, DB Score: 1.2114975465090643, Combined Score: 1.6789130146290165
Clusters: 64, eps: 0.25000000000000006, min_samples: 5, Silhouette: 0.47596371969300305, DB Score: 0.9122418030718997, Combined Score: 3.183162036067701
Clusters: 47, eps: 0.25000000000000006, min_samples: 10, Silhouette: 0.3234373393563717, DB Score: 1.087777629778237, Combined Score: 2.730507005589148
Clusters: 29, eps: 0.25000000000000006, min_samples: 15, Silhouette: 0.15927698335482662, DB Score: 1.0719938617999616, Combined Score: 2.334037000542879
Clusters: 20, eps: 0.25000000000000006, min_samples: 20, Silhouette: -0.016753714037804276, DB Score: 1.1256983219100438, Combined Score: 1.96851166885195
Clusters: 10, eps: 0.25000000000000006, min_samples: 25, Silhouette: -0.07366352775500502, DB Score: 1.1823500390418131, Combined Score: 1.8596358851893044
Clusters: 56, eps: 0.30000000000000004, min_samples: 5, Silhouette: 0.5224598070524807, DB Score: 1.0657840501079108, Combined Score: 3.3117773845539586
Clusters: 48, eps: 0.30000000000000004, min_samples: 10, Silhouette: 0.4426382377712599, DB Score: 1.0166257594863208, Combined Score: 3.0708361211845405
