Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_arr_time
Target column sched_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_38.92%_HC.png
Program completed in: 15.658794641494751 seconds
705951459394, Weighted Score: 7.963526151510532
Cluster count: 6, Silhouette Score: 0.21448169697899108, Davies-Bouldin Score: 1.6132260549726807, Weighted Score: 6.817756519745238
Cluster count: 7, Silhouette Score: 0.2500586631412972, Davies-Bouldin Score: 1.7046424790049899, Weighted Score: 5.797934618136366
Cluster count: 8, Silhouette Score: 0.25886791813661414, Davies-Bouldin Score: 1.715573849985322, Weighted Score: 4.718961019373233
Cluster count: 9, Silhouette Score: 0.25196422033286525, Davies-Bouldin Score: 1.6672796772457634, Weighted Score: 3.60467180501484
Cluster count: 10, Silhouette Score: 0.26633035455840703, Davies-Bouldin Score: 1.675809346967353, Weighted Score: 2.539613602753823
Cluster count: 11, Silhouette Score: 0.2656346386227376, Davies-Bouldin Score: 1.6303007371153604, Weighted Score: 2.5405006211986216
Cluster count: 12, Silhouette Score: 0.24793752798385085, Davies-Bouldin Score: 1.5780171991296321, Weighted Score: 2.500121322186721
Cluster count: 13, Silhouette Score: 0.2535068037472894, Davies-Bouldin Score: 1.5080350566664615, Weighted Score: 2.5182264184049155
Cluster count: 14, Silhouette Score: 0.26919118770640066, Davies-Bouldin Score: 1.4765863041888612, Weighted Score: 2.5591063964250567
Cluster count: 15, Silhouette Score: 0.27260820778029, Davies-Bouldin Score: 1.4505302925441492, Weighted Score: 2.569440268687185
Cluster count: 16, Silhouette Score: 0.28638299573368897, Davies-Bouldin Score: 1.388561401832551, Weighted Score: 2.608599504746389
Cluster count: 17, Silhouette Score: 0.3217179145328938, Davies-Bouldin Score: 1.3689362818681767, Weighted Score: 2.701213668046442
Cluster count: 18, Silhouette Score: 0.31616489062142406, Davies-Bouldin Score: 1.380762921275801, Weighted Score: 2.685780716125236
Cluster count: 19, Silhouette Score: 0.3267081086491522, Davies-Bouldin Score: 1.3442583292414103, Weighted Score: 2.716251851734618
Cluster count: 20, Silhouette Score: 0.31610299901426897, Davies-Bouldin Score: 1.3136860221363222, Weighted Score: 2.6908513512970593
Cluster count: 21, Silhouette Score: 0.3240573234475229, Davies-Bouldin Score: 1.2871362670889344, Weighted Score: 2.713866415990561
Cluster count: 22, Silhouette Score: 0.3276541163970519, Davies-Bouldin Score: 1.2932891516102325, Weighted Score: 2.7228387858697043
Cluster count: 23, Silhouette Score: 0.33799260109274754, Davies-Bouldin Score: 1.2619440219132672, Weighted Score: 2.7529003355675195
Cluster count: 24, Silhouette Score: 0.36109801121027474, Davies-Bouldin Score: 1.2450012978117375, Weighted Score: 2.8167137610126187
Cluster count: 25, Silhouette Score: 0.39398003158533923, Davies-Bouldin Score: 1.228192534109227, Weighted Score: 2.909449196200087
Cluster count: 26, Silhouette Score: 0.3942858933021047, Davies-Bouldin Score: 1.2076989759272285, Weighted Score: 2.912131207760034
Cluster count: 27, Silhouette Score: 0.3919340390620625, Davies-Bouldin Score: 1.1642118016349843, Weighted Score: 2.9094862951836755
Cluster count: 28, Silhouette Score: 0.4310904590342289, Davies-Bouldin Score: 1.1337574623867042, Weighted Score: 3.024827388881782
Cluster count: 29, Silhouette Score: 0.44281110894851866, Davies-Bouldin Score: 1.1219656133693734, Weighted Score: 3.060495866940226
Cluster count: 30, Silhouette Score: 0.45898936228990217, Davies-Bouldin Score: 1.1097651099363302, Weighted Score: 3.1100178871770283
Cluster count: 31, Silhouette Score: 0.47403063396507794, Davies-Bouldin Score: 1.0908590059313326, Weighted Score: 3.157538826348486
Cluster count: 32, Silhouette Score: 0.49497865812276304, Davies-Bouldin Score: 1.0553944542239215, Weighted Score: 3.2258855008002656
Cluster count: 33, Silhouette Score: 0.49690121673090226, Davies-Bouldin Score: 1.0496031071094707, Weighted Score: 3.2324989471893515
Cluster count: 34, Silhouette Score: 0.5099784682246153, Davies-Bouldin Score: 1.031657023868638, Weighted Score: 3.275568093178713
Cluster count: 35, Silhouette Score: 0.5231816729384632, Davies-Bouldin Score: 1.0152175278722024, Weighted Score: 3.3194540628380143
Cluster count: 36, Silhouette Score: 0.5313940950726628, Davies-Bouldin Score: 0.9941365553885367, Weighted Score: 3.348246488194329
Cluster count: 37, Silhouette Score: 0.5344122758516818, Davies-Bouldin Score: 0.9890317538565728, Weighted Score: 3.358599951499661
Cluster count: 38, Silhouette Score: 0.5370908390139248, Davies-Bouldin Score: 0.9702427299460248, Weighted Score: 3.3694252729243157
Cluster count: 39, Silhouette Score: 0.5671559022489886, Davies-Bouldin Score: 0.9441358778425616, Weighted Score: 3.4718026015950567
Cluster count: 40, Silhouette Score: 0.5791994598127173, Davies-Bouldin Score: 0.9227676237078887, Weighted Score: 3.514974830053132
Cluster count: 41, Silhouette Score: 0.5965816220379058, Davies-Bouldin Score: 0.9043238034818122, Weighted Score: 3.5767356536200086
