Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_DBSCAN.png
Program completed in: 11.762829780578613 seconds
umn sched_arr_time
Starting DBSCAN clustering at 2024-10-17 23:45:03
Clusters: 93, eps: 0.1, min_samples: 5, Silhouette: 0.3371528557354247, DB Score: 0.9797184431731041, Combined Score: 2.7783549568675094
Clusters: 48, eps: 0.1, min_samples: 10, Silhouette: -0.018398622450307864, DB Score: 1.0904986438885784, Combined Score: 1.9689231873384647
Clusters: 18, eps: 0.1, min_samples: 15, Silhouette: -0.2024361673565591, DB Score: 1.1654932101469946, Combined Score: 1.6476186729792222
Clusters: 4, eps: 0.1, min_samples: 20, Silhouette: -0.2136554186546639, DB Score: 1.273791974655702, Combined Score: 1.6206803746101996
Clusters: 70, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.37794985012381543, DB Score: 1.003521385914446, Combined Score: 2.8867084640038323
Clusters: 52, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.21075184571357086, DB Score: 1.0367189866920836, Combined Score: 2.4555897153749573
Clusters: 32, eps: 0.15000000000000002, min_samples: 15, Silhouette: 0.003880254169315194, DB Score: 1.1093399132420176, Combined Score: 2.0091279312762436
Clusters: 13, eps: 0.15000000000000002, min_samples: 20, Silhouette: -0.1410317202552837, DB Score: 1.1549219267582258, Combined Score: 1.7470313218019917
Clusters: 5, eps: 0.15000000000000002, min_samples: 25, Silhouette: -0.22934701507906458, DB Score: 1.259354907993613, Combined Score: 1.5979750269359536
Clusters: 56, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.4547113479111502, DB Score: 1.029001254343584, Combined Score: 3.1054819526328887
Clusters: 39, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.2864322549219773, DB Score: 1.0186161121772126, Combined Score: 2.642222447282744
Clusters: 27, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.153747553672451, DB Score: 1.1350458253779212, Combined Score: 2.315457646070385
Clusters: 20, eps: 0.20000000000000004, min_samples: 20, Silhouette: -0.03632884568075556, DB Score: 1.1365674369535714, Combined Score: 1.9311870367401398
Clusters: 14, eps: 0.20000000000000004, min_samples: 25, Silhouette: -0.0939565210341022, DB Score: 1.14448721985095, Combined Score: 1.827675016353329
Clusters: 54, eps: 0.25000000000000006, min_samples: 5, Silhouette: 0.4830748792852906, DB Score: 1.0555244029433621, Combined Score: 3.1889349377146767
Clusters: 36, eps: 0.25000000000000006, min_samples: 10, Silhouette: 0.35706924541657986, DB Score: 1.026913809390151, Combined Score: 2.826786998545057
Clusters: 28, eps: 0.25000000000000006, min_samples: 15, Silhouette: 0.2274407024618186, DB Score: 1.0861118326997727, Combined Score: 2.4899972421830134
Clusters: 20, eps: 0.25000000000000006, min_samples: 20, Silhouette: 0.11819125141194071, DB Score: 1.2022972682816169, Combined Score: 2.2316718887510647
Clusters: 13, eps: 0.25000000000000006, min_samples: 25, Silhouette: -0.004169032487636556, DB Score: 1.1737474235403664, Combined Score: 1.9876427818180153
Clusters: 47, eps: 0.30000000000000004, min_samples: 5, Silhouette: 0.5014293326510385, DB Score: 1.0574948432848459, Combined Score: 3.2458670798920846
Clusters: 34, eps: 0.30000000000000004, min_samples: 10, Silhouette: 0.4115651657208336, DB Score: 1.059201031021123, Combined Score: 2.9756797094073635
Clusters: 25, eps: 0.30000000000000004, min_samples: 15, Silhouette: 0.29922217871369067, DB Score: 1.0887466778529165, Combined Score: 2.6675020478141906
Clusters: 22, eps: 0.30000000000000004, min_samples: 20, Silhouette: 0.19826963480610124, DB Score: 1.1600855210208172, Combined Score: 2.4141016246276474
Clusters: 16, eps: 0.30000000000000004, min_samples: 25, Silhouette: 0.08639589358796257, DB Score: 1.220141612098671, Combined Score: 2.1630581450036734
Clusters: 44, eps: 0.3500000000000001, min_samples: 5, Silhouette: 0.5032712224002287, DB Score: 0.943812493358983, Combined Score: 3.2642039954502513
Clusters: 34, eps: 0.3500000000000001, min_samples: 10, Silhouette: 0.4351265765424808, DB Score: 1.0164669834609872, Combined Score: 3.048684987650766
Clusters: 24, eps: 0.3500000000000001, min_samples: 15, Silhouette: 0.3448160831005858, DB Score: 1.0755240708988385, Combined Score: 2.7885721700815886
Clusters: 17, eps: 0.3500000000000001, min_samples: 20, Silhouette: 0.26716447244412245, DB Score: 1.1684045089294992, Combined Score: 2.5787977350571447
Clusters: 15, eps: 0.3500000000000001, min_samples: 25, Silhouette: 0.13644958062185053, DB Score: 1.2776023857973287, Combined Score: 2.2645921149942603
Clusters: 44, eps: 0.40000000000000013, min_samples: 5, Silhouette: 0.5215125159066553, DB Score: 0.9777167857703112, Combined Score: 3.318252891795972
