Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_45.44%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_45.44%_DBSCAN.png
Program completed in: 11.348022699356079 seconds
rting DBSCAN clustering at 2024-10-18 00:08:38
Clusters: 67, eps: 0.1, min_samples: 5, Silhouette: 0.3142349372158105, DB Score: 0.8990059541088098, Combined Score: 2.727423887564642
Clusters: 51, eps: 0.1, min_samples: 10, Silhouette: 0.07648733042975064, DB Score: 1.1242232088789217, Combined Score: 2.151519233120681
Clusters: 20, eps: 0.1, min_samples: 15, Silhouette: -0.19124267639318746, DB Score: 1.1408488508190284, Combined Score: 1.6674457071102409
Clusters: 5, eps: 0.1, min_samples: 20, Silhouette: -0.3017588628011575, DB Score: 1.2287317494832213, Combined Score: 1.494948787970738
Clusters: 43, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.37827472179170835, DB Score: 0.8492692399427593, Combined Score: 2.9059530252840826
Clusters: 33, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.27163319273433995, DB Score: 1.12586256020791, Combined Score: 2.593982777446011
Clusters: 33, eps: 0.15000000000000002, min_samples: 15, Silhouette: 0.06477347704771122, DB Score: 1.1505849200820981, Combined Score: 2.125062851206385
Clusters: 16, eps: 0.15000000000000002, min_samples: 20, Silhouette: -0.1116501816433776, DB Score: 1.1241064687822475, Combined Score: 1.7992629963707525
Clusters: 9, eps: 0.15000000000000002, min_samples: 25, Silhouette: -0.21461230656941344, DB Score: 1.208697708722355, Combined Score: 1.6248557227385723
Clusters: 40, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.4143864512158838, DB Score: 0.8882618730974617, Combined Score: 3.0031841463216837
Clusters: 22, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.34230616639554146, DB Score: 1.0912715230336119, Combined Score: 2.780239490516368
Clusters: 24, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.20881381247136813, DB Score: 1.2126642389403417, Combined Score: 2.4338775648366444
Clusters: 19, eps: 0.20000000000000004, min_samples: 20, Silhouette: 0.09694150923600668, DB Score: 1.1764507702574456, Combined Score: 2.1890056763793373
Clusters: 11, eps: 0.20000000000000004, min_samples: 25, Silhouette: -0.05394057814119298, DB Score: 1.1687852167532125, Combined Score: 1.896101622039225
