Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_dep_time
Target column act_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_45.44%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_45.44%_HC.png
Program completed in: 15.114139318466187 seconds
4182746024977, Weighted Score: 8.568415323728312
Cluster count: 6, Silhouette Score: 0.40084707230026684, Davies-Bouldin Score: 1.2982252262812006, Weighted Score: 7.322950300209975
Cluster count: 7, Silhouette Score: 0.4041879850282235, Davies-Bouldin Score: 1.377568564942398, Weighted Score: 6.226210385334255
Cluster count: 8, Silhouette Score: 0.4023566829472719, Davies-Bouldin Score: 1.5395772166554895, Weighted Score: 5.109679167457356
Cluster count: 9, Silhouette Score: 0.38930302097415326, Davies-Bouldin Score: 1.5029738081788133, Weighted Score: 3.975177213010392
Cluster count: 10, Silhouette Score: 0.40523644499326533, Davies-Bouldin Score: 1.3741801343846227, Weighted Score: 2.9294574377538303
Cluster count: 11, Silhouette Score: 0.41438665017084486, Davies-Bouldin Score: 1.2860492497176752, Weighted Score: 2.962681813791274
Cluster count: 12, Silhouette Score: 0.43538230366744385, Davies-Bouldin Score: 1.1950718979627764, Weighted Score: 3.031680256142464
Cluster count: 13, Silhouette Score: 0.4302295037597045, Davies-Bouldin Score: 1.281543490235837, Weighted Score: 3.0090433754950934
Cluster count: 14, Silhouette Score: 0.4435248171858965, Davies-Bouldin Score: 1.2430876701165852, Weighted Score: 3.051467095949202
Cluster count: 15, Silhouette Score: 0.45791751284704685, Davies-Bouldin Score: 1.2822707786415672, Weighted Score: 3.091123224062905
Cluster count: 16, Silhouette Score: 0.4492800465259894, Davies-Bouldin Score: 1.3533443826437563, Weighted Score: 3.0595448760155284
Cluster count: 17, Silhouette Score: 0.4606466200259999, Davies-Bouldin Score: 1.2867192357339157, Weighted Score: 3.098973933285866
Cluster count: 18, Silhouette Score: 0.5017360877114351, Davies-Bouldin Score: 1.2176455588980657, Weighted Score: 3.231411329801807
Cluster count: 19, Silhouette Score: 0.5295919324040295, Davies-Bouldin Score: 1.1652611749133683, Weighted Score: 3.3249572367977094
Cluster count: 20, Silhouette Score: 0.5354347271090968, Davies-Bouldin Score: 1.1271174274724265, Weighted Score: 3.3475303050112384
Cluster count: 21, Silhouette Score: 0.5347014307214014, Davies-Bouldin Score: 1.1585699668702023, Weighted Score: 3.342138424872888
Cluster count: 22, Silhouette Score: 0.5496764511078545, Davies-Bouldin Score: 1.1395990924675519, Weighted Score: 3.392946406362494
Cluster count: 23, Silhouette Score: 0.5753866141926522, Davies-Bouldin Score: 1.1054040935961778, Weighted Score: 3.4821498494430667
Cluster count: 24, Silhouette Score: 0.5768809425448872, Davies-Bouldin Score: 1.087663436131816, Weighted Score: 3.4889864625041156
Cluster count: 25, Silhouette Score: 0.5958437134168403, Davies-Bouldin Score: 1.0567002391340294, Weighted Score: 3.557022522839087
Cluster count: 26, Silhouette Score: 0.5985857939921976, Davies-Bouldin Score: 1.0369716280344077, Weighted Score: 3.5685809457661324
Cluster count: 27, Silhouette Score: 0.6047144655408412, Davies-Bouldin Score: 1.0020698729415882, Weighted Score: 3.593642548133291
Cluster count: 28, Silhouette Score: 0.6134334335489174, Davies-Bouldin Score: 0.9975841797313556, Weighted Score: 3.6246430723238956
Cluster count: 29, Silhouette Score: 0.6301915666182644, Davies-Bouldin Score: 0.9668821537125033, Weighted Score: 3.687476822505901
Cluster count: 30, Silhouette Score: 0.6301891027517713, Davies-Bouldin Score: 0.96168738833637, Weighted Score: 3.688062179121428
Cluster count: 31, Silhouette Score: 0.6296999734537103, Davies-Bouldin Score: 0.9526996724768872, Weighted Score: 3.6873500624528255
Cluster count: 32, Silhouette Score: 0.6394718463945295, Davies-Bouldin Score: 0.9469902368061811, Weighted Score: 3.7230852895631763
