Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_51.59%_HC.png
Program completed in: 15.114195823669434 seconds
6530674916, Weighted Score: 8.006016787417717
Cluster count: 6, Silhouette Score: 0.2768914674175138, Davies-Bouldin Score: 1.6016686834897733, Weighted Score: 6.970301738308756
Cluster count: 7, Silhouette Score: 0.30623256297076507, Davies-Bouldin Score: 1.5279532451396969, Weighted Score: 5.949659838532845
Cluster count: 8, Silhouette Score: 0.3224222907980459, Davies-Bouldin Score: 1.494856257523322, Weighted Score: 4.894034268805617
Cluster count: 9, Silhouette Score: 0.3476829807542705, Davies-Bouldin Score: 1.4076899453778084, Weighted Score: 3.8673610793870017
Cluster count: 10, Silhouette Score: 0.33706987878646594, Davies-Bouldin Score: 1.379242287748775, Weighted Score: 2.7410395112039794
Cluster count: 11, Silhouette Score: 0.3543574783594118, Davies-Bouldin Score: 1.2926621732850199, Weighted Score: 2.7943512794603285
Cluster count: 12, Silhouette Score: 0.33221236620357375, Davies-Bouldin Score: 1.5170589488916317, Weighted Score: 2.718399213183659
Cluster count: 13, Silhouette Score: 0.3417648009942246, Davies-Bouldin Score: 1.4852011634874316, Weighted Score: 2.745989549900677
Cluster count: 14, Silhouette Score: 0.355142592871062, Davies-Bouldin Score: 1.4629717826813045, Weighted Score: 2.7835837992075536
Cluster count: 15, Silhouette Score: 0.3610089095755966, Davies-Bouldin Score: 1.4353493163816298, Weighted Score: 2.801497994793259
Cluster count: 16, Silhouette Score: 0.3788032394010228, Davies-Bouldin Score: 1.417234543445686, Weighted Score: 2.851818244537641
Cluster count: 17, Silhouette Score: 0.3806122175817038, Davies-Bouldin Score: 1.3982502897478137, Weighted Score: 2.8582437585204175
Cluster count: 18, Silhouette Score: 0.3831881596735058, Davies-Bouldin Score: 1.3807654243709322, Weighted Score: 2.866731948571894
Cluster count: 19, Silhouette Score: 0.40812283580944353, Davies-Bouldin Score: 1.3687078797255816, Weighted Score: 2.938122337266513
Cluster count: 20, Silhouette Score: 0.4034606711574464, Davies-Bouldin Score: 1.3409563533953945, Weighted Score: 2.9269592054217806
Cluster count: 21, Silhouette Score: 0.40422517716304684, Davies-Bouldin Score: 1.291472541851106, Weighted Score: 2.933118827284568
Cluster count: 22, Silhouette Score: 0.4170652696101037, Davies-Bouldin Score: 1.2787796965528953, Weighted Score: 2.97101087309562
Cluster count: 23, Silhouette Score: 0.4221023037040614, Davies-Bouldin Score: 1.266740690487928, Weighted Score: 2.986603480532437
Cluster count: 24, Silhouette Score: 0.43891301904470015, Davies-Bouldin Score: 1.2363999727920956, Weighted Score: 3.038405711435798
Cluster count: 25, Silhouette Score: 0.4447680539339845, Davies-Bouldin Score: 1.1922239662794607, Weighted Score: 3.059671494604579
Cluster count: 26, Silhouette Score: 0.48696820534152596, Davies-Bouldin Score: 1.1498928405155167, Weighted Score: 3.1915656803712578
