Data loaded successfully.
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_8.69%_OPTICS.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_8.69%_OPTICS.png
Program completed in: 305.51643323898315 seconds
me has been encoded
Starting OPTICS clustering, current time: 2024-10-18 01:36:45
Clusters: 36, min_samples: 5, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: -0.16975963786942455, Davies-Bouldin Score: 1.3593593324442415, Combined Score: 1.682756602607907
Clusters: 17, min_samples: 5, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: -0.22404066340056644, Davies-Bouldin Score: 1.4036269354783633, Combined Score: 1.5945840761563996
Clusters: 9, min_samples: 5, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.045728795340608974, Davies-Bouldin Score: 1.481885752868814, Combined Score: 0.9599927215249249
Clusters: 33, min_samples: 5, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: -0.22527704184315905, Davies-Bouldin Score: 1.2991181188508067, Combined Score: 1.6008252778492364
Clusters: 14, min_samples: 5, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: -0.27680195266794927, Davies-Bouldin Score: 1.3783457904476655, Combined Score: 1.5183082499874976
Clusters: 9, min_samples: 5, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.035307167630907264, Davies-Bouldin Score: 1.483310605184604, Combined Score: 0.9392453493584272
Clusters: 33, min_samples: 5, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: -0.15233722981112566, Davies-Bouldin Score: 1.300624058558139, Combined Score: 1.71563799252408
Clusters: 13, min_samples: 5, xi: 0.1, min_cluster_size: 0.02, Silhouette Score: -0.24960580223524773, Davies-Bouldin Score: 1.4240605854108703, Combined Score: 1.554704640411304
Clusters: 9, min_samples: 5, xi: 0.1, min_cluster_size: 0.05, Silhouette Score: 0.15707430780413922, Davies-Bouldin Score: 1.5215509382285397, Combined Score: 1.191941788992021
Clusters: 32, min_samples: 10, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: -0.16206649703904455, Davies-Bouldin Score: 1.275325140505927, Combined Score: 1.7019116462559054
Clusters: 14, min_samples: 10, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: -0.2612780829765352, Davies-Bouldin Score: 1.3957473389827528, Combined Score: 1.5395752793618855
