Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Address1
Target column Address1 has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_21.65%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_21.65%_HC.png
Program completed in: 2.133057117462158 seconds
368689071508915, Weighted Score: 7.4795805632647125
Cluster count: 6, Silhouette Score: 0.030982389239586055, Davies-Bouldin Score: 3.141163587010679, Weighted Score: 6.375642985767957
Cluster count: 7, Silhouette Score: 0.056366576830098804, Davies-Bouldin Score: 2.976859049662821, Weighted Score: 5.328417614838734
Cluster count: 8, Silhouette Score: 0.053782661499459324, Davies-Bouldin Score: 2.8216995415492376, Weighted Score: 4.225788198373987
Cluster count: 9, Silhouette Score: 0.0897978939455594, Davies-Bouldin Score: 2.636548390231889, Weighted Score: 3.203053512070187
Cluster count: 10, Silhouette Score: 0.0849831155273879, Davies-Bouldin Score: 2.582342459044277, Weighted Score: 2.0942519096815038
Cluster count: 11, Silhouette Score: 0.12629762760806618, Davies-Bouldin Score: 2.3774499950447523, Weighted Score: 2.186787557359121
Cluster count: 12, Silhouette Score: 0.13387727934258914, Davies-Bouldin Score: 2.347973739389691, Weighted Score: 2.204046547201525
Cluster count: 13, Silhouette Score: 0.12715260185803215, Davies-Bouldin Score: 2.2837036574909475, Weighted Score: 2.191369954172734
Cluster count: 14, Silhouette Score: 0.1800863036985969, Davies-Bouldin Score: 2.191472537597951, Weighted Score: 2.3117841761608906
Cluster count: 15, Silhouette Score: 0.1638262417628534, Davies-Bouldin Score: 2.1574437712906334, Weighted Score: 2.2761995673112705
Cluster count: 16, Silhouette Score: 0.1581586652610123, Davies-Bouldin Score: 2.126441499152677, Weighted Score: 2.2646237408499936
Cluster count: 17, Silhouette Score: 0.15893483775408568, Davies-Bouldin Score: 2.1702588214191234, Weighted Score: 2.264820522744979
Cluster count: 18, Silhouette Score: 0.1507046975800188, Davies-Bouldin Score: 2.147529995884633, Weighted Score: 2.247325154390013
Cluster count: 19, Silhouette Score: 0.15438983875996348, Davies-Bouldin Score: 2.112712766194978, Weighted Score: 2.256733996090041
Cluster count: 20, Silhouette Score: 0.1546767119273601, Davies-Bouldin Score: 2.1688485743908057, Weighted Score: 2.255390969522137
Cluster count: 21, Silhouette Score: 0.15227877874387577, Davies-Bouldin Score: 2.193643334463216, Weighted Score: 2.2492314792501564
Cluster count: 22, Silhouette Score: 0.15380644512891706, Davies-Bouldin Score: 2.1314496734361335, Weighted Score: 2.254765657450936
Cluster count: 23, Silhouette Score: 0.16129419399492861, Davies-Bouldin Score: 2.111723010624157, Weighted Score: 2.2721538144575284
Cluster count: 24, Silhouette Score: 0.16358784526799244, Davies-Bouldin Score: 2.170900819631722, Weighted Score: 2.2752016163220325
