Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Score
Target column Score has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_33.68%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_33.68%_HC.png
Program completed in: 2.952051877975464 seconds
: 3.4175977279008136, Weighted Score: 7.516859526851379
Cluster count: 6, Silhouette Score: 0.05397664121779158, Davies-Bouldin Score: 3.1586224902561004, Weighted Score: 6.4210715843414325
Cluster count: 7, Silhouette Score: 0.040917076781604236, Davies-Bouldin Score: 2.9537882589567137, Weighted Score: 5.2979115109768475
Cluster count: 8, Silhouette Score: 0.04117059335814669, Davies-Bouldin Score: 2.83543114558155, Weighted Score: 4.200379535840562
Cluster count: 9, Silhouette Score: 0.06310453393554766, Davies-Bouldin Score: 2.749625205646561, Weighted Score: 3.145927572629288
Cluster count: 10, Silhouette Score: 0.07448511046881061, Davies-Bouldin Score: 2.556980386617796, Weighted Score: 2.0732008234267463
Cluster count: 11, Silhouette Score: 0.07026559493413023, Davies-Bouldin Score: 2.516447736132691, Weighted Score: 2.065531517611519
Cluster count: 12, Silhouette Score: 0.10420461746157762, Davies-Bouldin Score: 2.4126900607444615, Weighted Score: 2.1386489928098396
Cluster count: 13, Silhouette Score: 0.10068332391593177, Davies-Bouldin Score: 2.4035261300904076, Weighted Score: 2.13147327076666
Cluster count: 14, Silhouette Score: 0.10021081317051392, Davies-Bouldin Score: 2.402508778243957, Weighted Score: 2.130506780123241
Cluster count: 15, Silhouette Score: 0.1010346506361359, Davies-Bouldin Score: 2.3422561957183126, Weighted Score: 2.133926291104749
Cluster count: 16, Silhouette Score: 0.09692922228133775, Davies-Bouldin Score: 2.293904225301433, Weighted Score: 2.1267300929385797
Cluster count: 17, Silhouette Score: 0.09548656116394923, Davies-Bouldin Score: 2.3008571597142153, Weighted Score: 2.1234981030525515
Cluster count: 18, Silhouette Score: 0.09290241711541625, Davies-Bouldin Score: 2.259826958658922, Weighted Score: 2.1193540004216467
Cluster count: 19, Silhouette Score: 0.09023537777328333, Davies-Bouldin Score: 2.2009736296363553, Weighted Score: 2.1156905619658946
Cluster count: 20, Silhouette Score: 0.09263159693446534, Davies-Bouldin Score: 2.176377672168378, Weighted Score: 2.1215135536988283
Cluster count: 21, Silhouette Score: 0.0926280616879376, Davies-Bouldin Score: 2.1624535749128633, Weighted Score: 2.1219834026878086
Cluster count: 22, Silhouette Score: 0.09696433358090645, Davies-Bouldin Score: 2.2451621085356432, Weighted Score: 2.128315255296939
Cluster count: 23, Silhouette Score: 0.09918290226366253, Davies-Bouldin Score: 2.2036849902244335, Weighted Score: 2.1343173108526323
Cluster count: 24, Silhouette Score: 0.10283826802817271, Davies-Bouldin Score: 2.1411641146424567, Weighted Score: 2.144148722641487
Cluster count: 25, Silhouette Score: 0.1035236092424262, Davies-Bouldin Score: 2.114513424902952, Weighted Score: 2.146546742140605
Cluster count: 26, Silhouette Score: 0.10270474704756097, Davies-Bouldin Score: 2.1111694391942977, Weighted Score: 2.1449406528991863
Cluster count: 27, Silhouette Score: 0.10385783352637787, Davies-Bouldin Score: 2.087746901783994, Weighted Score: 2.1482344250931424
Cluster count: 28, Silhouette Score: 0.10412596195661511, Davies-Bouldin Score: 2.092104094044818, Weighted Score: 2.1486388412924957
