Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Address1
Target column Address1 has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_46.52%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_46.52%_HC.png
Program completed in: 2.928870916366577 seconds
 3.362230227440519, Weighted Score: 7.512558364813778
Cluster count: 6, Silhouette Score: 0.028555534023059406, Davies-Bouldin Score: 3.2063828990491134, Weighted Score: 6.370066753288135
Cluster count: 7, Silhouette Score: 0.022397615939497392, Davies-Bouldin Score: 3.1221228230171683, Weighted Score: 5.259115317071546
Cluster count: 8, Silhouette Score: 0.017310411777130042, Davies-Bouldin Score: 3.075690936805091, Weighted Score: 4.149869541027658
Cluster count: 9, Silhouette Score: 0.032784187346032424, Davies-Bouldin Score: 2.9757217505124762, Weighted Score: 3.0815159564762604
Cluster count: 10, Silhouette Score: 0.05818001461244581, Davies-Bouldin Score: 2.898061759196765, Weighted Score: 2.0333248210921373
Cluster count: 11, Silhouette Score: 0.050650105003500624, Davies-Bouldin Score: 2.814678786589799, Weighted Score: 2.019633835959568
Cluster count: 12, Silhouette Score: 0.04779076851569011, Davies-Bouldin Score: 2.754406821394948, Weighted Score: 2.0150354403598967
Cluster count: 13, Silhouette Score: 0.09382023521597356, Davies-Bouldin Score: 2.6496614502969136, Weighted Score: 2.111163302063529
Cluster count: 14, Silhouette Score: 0.09042419431841561, Davies-Bouldin Score: 2.587466028444762, Weighted Score: 2.105438321189037
Cluster count: 15, Silhouette Score: 0.0925467748684816, Davies-Bouldin Score: 2.4791717272982394, Weighted Score: 2.1124447579820274
Cluster count: 16, Silhouette Score: 0.0871464598950702, Davies-Bouldin Score: 2.4234938318498216, Weighted Score: 2.1026427167137896
Cluster count: 17, Silhouette Score: 0.08892458647204747, Davies-Bouldin Score: 2.5033490067502546, Weighted Score: 2.104297218654583
Cluster count: 18, Silhouette Score: 0.0781522789883415, Davies-Bouldin Score: 2.469936223925103, Weighted Score: 2.082847615956253
