Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: Condition
Target column Condition has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_49.29%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_49.29%_HC.png
Program completed in: 2.803164005279541 seconds
14467824327, Weighted Score: 7.554520328003591
Cluster count: 6, Silhouette Score: 0.06666689347087283, Davies-Bouldin Score: 3.1500965537218373, Weighted Score: 6.446829280991741
Cluster count: 7, Silhouette Score: 0.06143983817961325, Davies-Bouldin Score: 3.0274500380886025, Weighted Score: 5.337902622353985
Cluster count: 8, Silhouette Score: 0.07468831331313248, Davies-Bouldin Score: 2.7489408134865014, Weighted Score: 4.269554544725291
Cluster count: 9, Silhouette Score: 0.11312441834319517, Davies-Bouldin Score: 2.5937470486124203, Weighted Score: 3.2531195166154485
Cluster count: 10, Silhouette Score: 0.10944167135533135, Davies-Bouldin Score: 2.5312063896738817, Weighted Score: 2.146734182185625
Cluster count: 11, Silhouette Score: 0.10563813869428543, Davies-Bouldin Score: 2.530008144490911, Weighted Score: 2.1387037488023104
Cluster count: 12, Silhouette Score: 0.09223469070379141, Davies-Bouldin Score: 2.420185762747217, Weighted Score: 2.1133211912736622
Cluster count: 13, Silhouette Score: 0.09375375404210934, Davies-Bouldin Score: 2.40102456001588, Weighted Score: 2.1170093392901066
Cluster count: 14, Silhouette Score: 0.0925712433465767, Davies-Bouldin Score: 2.3309574277547607, Weighted Score: 2.116512838125199
Cluster count: 15, Silhouette Score: 0.08888696988577276, Davies-Bouldin Score: 2.306936742527477, Weighted Score: 2.1095455544667883
Cluster count: 16, Silhouette Score: 0.09023246615118731, Davies-Bouldin Score: 2.2914176004652322, Weighted Score: 2.1128128021391563
Cluster count: 17, Silhouette Score: 0.08959196407647442, Davies-Bouldin Score: 2.2452831692358015, Weighted Score: 2.112911761381638
Cluster count: 18, Silhouette Score: 0.09761862151600244, Davies-Bouldin Score: 2.341920281579469, Weighted Score: 2.1267571872396256
Cluster count: 19, Silhouette Score: 0.10201027042729438, Davies-Bouldin Score: 2.2983836618098215, Weighted Score: 2.137274207119011
Cluster count: 20, Silhouette Score: 0.10454203198841892, Davies-Bouldin Score: 2.28170530400341, Weighted Score: 2.143122432911338
Cluster count: 21, Silhouette Score: 0.10823795931627694, Davies-Bouldin Score: 2.2725265735904654, Weighted Score: 2.151226952593384
Cluster count: 22, Silhouette Score: 0.10624610002905141, Davies-Bouldin Score: 2.2365990390985506, Weighted Score: 2.14813870327665
Cluster count: 23, Silhouette Score: 0.10296192163693044, Davies-Bouldin Score: 2.2057486252771716, Weighted Score: 2.142204529298728
Cluster count: 24, Silhouette Score: 0.1082990785279165, Davies-Bouldin Score: 2.188481443910419, Weighted Score: 2.154067152077482
Cluster count: 25, Silhouette Score: 0.11500367619629681, Davies-Bouldin Score: 2.1679380084212694, Weighted Score: 2.1690295609380863
Cluster count: 26, Silhouette Score: 0.12246190242931194, Davies-Bouldin Score: 2.095915210199872, Weighted Score: 2.187573507650713
Cluster count: 27, Silhouette Score: 0.12287944096083615, Davies-Bouldin Score: 2.0854447570511843, Weighted Score: 2.1888599452977453
Cluster count: 28, Silhouette Score: 0.12352043821540061, Davies-Bouldin Score: 2.048552117097132, Weighted Score: 2.1916404227987827
Cluster count: 29, Silhouette Score: 0.12713423057964543, Davies-Bouldin Score: 2.0178149726401524, Weighted Score: 2.2006421247436467
Cluster count: 30, Silhouette Score: 0.12527302692708958, Davies-Bouldin Score: 2.0236423138378257, Weighted Score: 2.1963925134454834
Cluster count: 31, Silhouette Score: 0.1247077656596227, Davies-Bouldin Score: 2.0134366694281147, Weighted Score: 2.1955804817742774
Cluster count: 32, Silhouette Score: 0.12011971264709559, Davies-Bouldin Score: 1.992159505894859, Weighted Score: 2.186574953758349
