Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: PhoneNumber
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_HC.png
Program completed in: 2.856151819229126 seconds
05226532632, Davies-Bouldin Score: 2.0826505781991353, Weighted Score: 8.012219436376387
Cluster count: 6, Silhouette Score: 0.32098808889155667, Davies-Bouldin Score: 1.968014090419626, Weighted Score: 7.0649056508615375
Cluster count: 7, Silhouette Score: 0.28939201911141266, Davies-Bouldin Score: 1.9867244044281986, Weighted Score: 5.882548169116802
Cluster count: 8, Silhouette Score: 0.33113839116548527, Davies-Bouldin Score: 1.9374464363107884, Weighted Score: 4.8929665141825005
Cluster count: 9, Silhouette Score: 0.3324805389642163, Davies-Bouldin Score: 1.9095329373045387, Weighted Score: 3.797748708284494
Cluster count: 10, Silhouette Score: 0.35814078853409315, Davies-Bouldin Score: 1.8763748630551924, Weighted Score: 2.768212609891955
Cluster count: 11, Silhouette Score: 0.3537794550206452, Davies-Bouldin Score: 1.8625986474000866, Weighted Score: 2.7570030425792877
Cluster count: 12, Silhouette Score: 0.39441906501284335, Davies-Bouldin Score: 1.3719076069784768, Weighted Score: 2.8989286424478427
Cluster count: 13, Silhouette Score: 0.36644179330156135, Davies-Bouldin Score: 1.346596906203319, Weighted Score: 2.822998145732384
Cluster count: 14, Silhouette Score: 0.38105955657031915, Davies-Bouldin Score: 1.2953742957502636, Weighted Score: 2.867519454267973
Cluster count: 15, Silhouette Score: 0.37514524148581463, Davies-Bouldin Score: 1.2690300972930344, Weighted Score: 2.853287084079683
Cluster count: 16, Silhouette Score: 0.3547275727285971, Davies-Bouldin Score: 1.3352520202311065, Weighted Score: 2.7919210343380856
Cluster count: 17, Silhouette Score: 0.3633623728287704, Davies-Bouldin Score: 1.3660743117593728, Weighted Score: 2.8130530031638066
Cluster count: 18, Silhouette Score: 0.3751951341045398, Davies-Bouldin Score: 1.2688312234925363, Weighted Score: 2.853442010926271
Cluster count: 19, Silhouette Score: 0.352791604961046, Davies-Bouldin Score: 1.3208193503565053, Weighted Score: 2.787821242720293
Cluster count: 20, Silhouette Score: 0.3532088679532273, Davies-Bouldin Score: 1.2657139600585885, Weighted Score: 2.7934877246725884
Cluster count: 21, Silhouette Score: 0.33874990658390763, Davies-Bouldin Score: 1.260979972268506, Weighted Score: 2.755003485812128
Cluster count: 22, Silhouette Score: 0.33587676507853337, Davies-Bouldin Score: 1.3237754249618048, Weighted Score: 2.742168974046754
Cluster count: 23, Silhouette Score: 0.34774198404592427, Davies-Bouldin Score: 1.345183598815601, Weighted Score: 2.772255223340527
Cluster count: 24, Silhouette Score: 0.3587178131233283, Davies-Bouldin Score: 1.33650031694438, Weighted Score: 2.8026696938732885
Cluster count: 25, Silhouette Score: 0.3891461112774493, Davies-Bouldin Score: 1.3079778567370397, Weighted Score: 2.8891061637087496
Cluster count: 26, Silhouette Score: 0.3947474506912109, Davies-Bouldin Score: 1.326574133103286, Weighted Score: 2.903384433580394
Cluster count: 27, Silhouette Score: 0.38610266217840555, Davies-Bouldin Score: 1.3373700660796801, Weighted Score: 2.878223857922937
Cluster count: 28, Silhouette Score: 0.38339823886380536, Davies-Bouldin Score: 1.3834453253216772, Weighted Score: 2.8671165712508264
Cluster count: 29, Silhouette Score: 0.38888031884606206, Davies-Bouldin Score: 1.379205858065345, Weighted Score: 2.882783578203774
Cluster count: 30, Silhouette Score: 0.4099676123393997, Davies-Bouldin Score: 1.3419010269769678, Weighted Score: 2.94548043318717
Cluster count: 31, Silhouette Score: 0.4210379410597318, Davies-Bouldin Score: 1.3171922796141284, Weighted Score: 2.979357648832356
Cluster count: 32, Silhouette Score: 0.43441649522666775, Davies-Bouldin Score: 1.2682526308224134, Weighted Score: 3.0224334776619597
Cluster count: 33, Silhouette Score: 0.44173568945129926, Davies-Bouldin Score: 1.2583647312263406, Weighted Score: 3.0448550738501403
