Data loaded successfully.
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_OPTICS.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_clean_OPTICS.png
Program completed in: 23.223090648651123 seconds
', 'Score', 'Sample', 'Stateavg'],
      dtype='object')
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: HospitalType
Target column HospitalType has been encoded
Starting OPTICS clustering, current time: 2024-10-18 10:49:11
Clusters: 49, min_samples: 5, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.1644555718865805, Davies-Bouldin Score: 1.450753594208225, Combined Score: 2.313242649745305
Clusters: 22, min_samples: 5, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.07384854543151728, Davies-Bouldin Score: 1.5478055857807522, Combined Score: 2.11244903546997
Clusters: 8, min_samples: 5, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.045708086452224475, Davies-Bouldin Score: 2.134561250185909, Combined Score: -0.17272222950502059
Clusters: 47, min_samples: 5, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: 0.14127643212530272, Davies-Bouldin Score: 1.4533078775822368, Combined Score: 2.2616721068011243
Clusters: 21, min_samples: 5, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: 0.048096207332357616, Davies-Bouldin Score: 1.557993766020403, Combined Score: 2.0597185656963366
Clusters: 6, min_samples: 5, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.014946461998799655, Davies-Bouldin Score: 1.7665779348077346, Combined Score: -2.4172739672587453
Clusters: 47, min_samples: 5, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: 0.14129086733368984, Davies-Bouldin Score: 1.4719842574044464, Combined Score: 2.260405962058499
Clusters: 19, min_samples: 5, xi: 0.1, min_cluster_size: 0.02, Silhouette Score: 0.0008994580724854515, Davies-Bouldin Score: 1.5310326148789941, Combined Score: 1.969403191661901
Clusters: 5, min_samples: 5, xi: 0.1, min_cluster_size: 0.05, Silhouette Score: -0.018837508085831997, Davies-Bouldin Score: 1.8165745286312365, Combined Score: -3.5839366685703475
Clusters: 42, min_samples: 10, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.24548607689140595, Davies-Bouldin Score: 1.5138942360057273, Combined Score: 2.4982517386982592
Clusters: 21, min_samples: 10, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.1263547774429318, Davies-Bouldin Score: 1.6364476372172063, Combined Score: 2.2174759862256157
