Starting K-Means clustering, current time: 2024-10-11 22:10:58
Clusters: 2, Silhouette Score: 0.30064853947269893, Davies-Bouldin Score: 1.533113898952968, Combined Score: 2.6349327199732695
Clusters: 3, Silhouette Score: 0.30444982762942135, Davies-Bouldin Score: 1.4701028661990119, Combined Score: 2.6489331013980038
Clusters: 4, Silhouette Score: 0.34013724475879886, Davies-Bouldin Score: 1.2879268750301527, Combined Score: 2.7564499932590465
Clusters: 5, Silhouette Score: 0.37493980826086964, Davies-Bouldin Score: 1.1010123567640862, Combined Score: 2.868147347973623
Clusters: 6, Silhouette Score: 0.4051866632115892, Davies-Bouldin Score: 1.0614198726653694, Combined Score: 2.9571905651083696
Clusters: 7, Silhouette Score: 0.3854591639035367, Davies-Bouldin Score: 0.9872227245798475, Combined Score: 2.9094454529566955
Clusters: 8, Silhouette Score: 0.4030619488421649, Davies-Bouldin Score: 1.097225756718188, Combined Score: 2.9474838170147115
Clusters: 9, Silhouette Score: 0.42418521116293234, Davies-Bouldin Score: 1.0892486605453682, Combined Score: 3.009070772874102
Clusters: 10, Silhouette Score: 0.4388057887020886, Davies-Bouldin Score: 1.0677065132121444, Combined Score: 3.0540997276968245
Clusters: 11, Silhouette Score: 0.45086248335919726, Davies-Bouldin Score: 1.0481032132518957, Combined Score: 3.091935717488288
Clusters: 12, Silhouette Score: 0.4716306319504079, Davies-Bouldin Score: 1.0252108202057175, Combined Score: 3.157049299297319
Clusters: 13, Silhouette Score: 0.4807163054742926, Davies-Bouldin Score: 0.9971713230457149, Combined Score: 3.1879419073869153
Clusters: 14, Silhouette Score: 0.4888515353569032, Davies-Bouldin Score: 0.9370163843359508, Combined Score: 3.2199403354620366
Clusters: 15, Silhouette Score: 0.49819635461428113, Davies-Bouldin Score: 0.9221987638096741, Combined Score: 3.2508222108831704
Clusters: 16, Silhouette Score: 0.505781399429836, Davies-Bouldin Score: 0.9182368482025416, Combined Score: 3.275138877302235
Clusters: 17, Silhouette Score: 0.5232919225161252, Davies-Bouldin Score: 0.8655503161529872, Combined Score: 3.337356956690905
Clusters: 18, Silhouette Score: 0.512810564973977, Davies-Bouldin Score: 0.8709782317702525, Combined Score: 3.303192528104476
Clusters: 19, Silhouette Score: 0.5498775441402343, Davies-Bouldin Score: 0.8015562472846208, Combined Score: 3.4322143618391046
Clusters: 20, Silhouette Score: 0.54186934424606, Davies-Bouldin Score: 0.8323329779933563, Combined Score: 3.401832659396807
Clusters: 21, Silhouette Score: 0.5145126635140373, Davies-Bouldin Score: 0.806007194897239, Combined Score: 3.3170345522357434
Clusters: 22, Silhouette Score: 0.5557814008590799, Davies-Bouldin Score: 0.761279462352275, Combined Score: 3.457272114679665
Clusters: 23, Silhouette Score: 0.5370354583323765, Davies-Bouldin Score: 0.7761956371513999, Combined Score: 3.393593645827225
Clusters: 24, Silhouette Score: 0.5226544765593748, Davies-Bouldin Score: 0.776322625044222, Combined Score: 3.347093181392303
Clusters: 25, Silhouette Score: 0.5457659787256045, Davies-Bouldin Score: 0.7512190115571351, Combined Score: 3.425632047407146
Clusters: 26, Silhouette Score: 0.5486115437216184, Davies-Bouldin Score: 0.7829312134936774, Combined Score: 3.430572423925578
Clusters: 27, Silhouette Score: 0.5519412443506458, Davies-Bouldin Score: 0.7267929487711986, Combined Score: 3.4494747197906075
Clusters: 28, Silhouette Score: 0.5597569700053991, Davies-Bouldin Score: 0.6929069178310644, Combined Score: 3.4804014382921666
Clusters: 29, Silhouette Score: 0.5612595454500113, Davies-Bouldin Score: 0.7255733779088146, Combined Score: 3.4805873655016684
Clusters: 30, Silhouette Score: 0.5606947957669528, Davies-Bouldin Score: 0.7389821403632985, Combined Score: 3.476770101356846
Clusters: 31, Silhouette Score: 0.5621904627058335, Davies-Bouldin Score: 0.6998603814595719, Combined Score: 3.487476075801632
Clusters: 32, Silhouette Score: 0.5478004630082004, Davies-Bouldin Score: 0.692596185816137, Combined Score: 3.4408656347576723
Clusters: 33, Silhouette Score: 0.5484590628129421, Davies-Bouldin Score: 0.6856408420486663, Combined Score: 3.444081172894401
Clusters: 34, Silhouette Score: 0.5417103206403905, Davies-Bouldin Score: 0.6848779308277716, Combined Score: 3.4220480597868437
Clusters: 35, Silhouette Score: 0.5647967572783814, Davies-Bouldin Score: 0.6732641726888111, Combined Score: 3.500204392281137
Clusters: 36, Silhouette Score: 0.5404471098289997, Davies-Bouldin Score: 0.6528242901497895, Combined Score: 3.4228454594619175
Clusters: 37, Silhouette Score: 0.5417778265657069, Davies-Bouldin Score: 0.6427523537021944, Combined Score: 3.428776272887215
Clusters: 38, Silhouette Score: 0.5679761874116039, Davies-Bouldin Score: 0.6292928179992842, Combined Score: 3.5177417649794642
Clusters: 39, Silhouette Score: 0.5436069578924695, Davies-Bouldin Score: 0.6525140517994785, Combined Score: 3.4332324346982017
Clusters: 40, Silhouette Score: 0.5412358607104074, Davies-Bouldin Score: 0.6235367006677566, Combined Score: 3.430064607841668
Clusters: 41, Silhouette Score: 0.5439213681039999, Davies-Bouldin Score: 0.6122677986792888, Combined Score: 3.4406784466454727
Clusters: 42, Silhouette Score: 0.5512106981725307, Davies-Bouldin Score: 0.6220029672097882, Combined Score: 3.4630848730031447
Clusters: 43, Silhouette Score: 0.5461094761186327, Davies-Bouldin Score: 0.5954043968847638, Combined Score: 3.4506248624013196
Clusters: 44, Silhouette Score: 0.5466372989979483, Davies-Bouldin Score: 0.5944557251161047, Combined Score: 3.4525163225038926
