Data loaded successfully.
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_16.97%_OPTICS.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_16.97%_OPTICS.png
Program completed in: 356.6201796531677 seconds
e has been encoded
Starting OPTICS clustering, current time: 2024-10-17 22:03:28
Clusters: 39, min_samples: 5, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: -0.0758246917146609, Davies-Bouldin Score: 1.0676284520320043, Combined Score: 1.8669994308658453
Clusters: 24, min_samples: 5, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.07359352264360208, Davies-Bouldin Score: 1.241529500997245, Combined Score: 2.1347949628133867
Clusters: 9, min_samples: 5, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.05585432856714939, Davies-Bouldin Score: 1.4278894166347222, Combined Score: 0.9840452300162044
Clusters: 36, min_samples: 5, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: -0.11913064076798222, Davies-Bouldin Score: 1.0364393035936035, Combined Score: 1.795512229987343
Clusters: 23, min_samples: 5, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: 0.0568492170953223, Davies-Bouldin Score: 1.2251392644745736, Combined Score: 2.1022187190412316
Clusters: 9, min_samples: 5, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.04494630640997245, Davies-Bouldin Score: 1.581046206768551, Combined Score: 0.9520000143376595
Clusters: 33, min_samples: 5, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: -0.13673740372250387, Davies-Bouldin Score: 1.0229988364833371, Combined Score: 1.7674728852482788
Clusters: 21, min_samples: 5, xi: 0.1, min_cluster_size: 0.02, Silhouette Score: 0.036563713080819966, Davies-Bouldin Score: 1.2424204381818194, Combined Score: 2.060263576825228
Clusters: 8, min_samples: 5, xi: 0.1, min_cluster_size: 0.05, Silhouette Score: 0.013837713917199027, Davies-Bouldin Score: 1.4163517807948318, Combined Score: -0.19791010050071245
Clusters: 40, min_samples: 10, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.05304643407597659, Davies-Bouldin Score: 1.0575666420493341, Combined Score: 2.1106489928750323
Clusters: 23, min_samples: 10, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.0913395668533752, Davies-Bouldin Score: 1.2130055662826098, Combined Score: 2.1739733988843595
