Data loaded successfully.
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_OPTICS.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_40.76%_OPTICS.png
Program completed in: 344.23804092407227 seconds
 been encoded
Starting OPTICS clustering, current time: 2024-10-17 23:39:18
Clusters: 51, min_samples: 5, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.17361149497693598, Davies-Bouldin Score: 1.1127361692084319, Combined Score: 2.362152459646699
Clusters: 29, min_samples: 5, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.3582494583180685, Davies-Bouldin Score: 1.2754470660935626, Combined Score: 2.806356995103474
Clusters: 10, min_samples: 5, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.2701791782691811, Davies-Bouldin Score: 1.6522556377346242, Combined Score: 2.5505286133822285
Clusters: 49, min_samples: 5, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: 0.12196519070516307, Davies-Bouldin Score: 1.1002079932710602, Combined Score: 2.249458760637038
Clusters: 26, min_samples: 5, xi: 0.05, min_cluster_size: 0.02, Silhouette Score: 0.28310098605928596, Davies-Bouldin Score: 1.2924609031969136, Combined Score: 2.6078453765247183
Clusters: 9, min_samples: 5, xi: 0.05, min_cluster_size: 0.05, Silhouette Score: 0.22200833785216734, Davies-Bouldin Score: 1.6408710627203191, Combined Score: 1.3339413746811855
Clusters: 48, min_samples: 5, xi: 0.1, min_cluster_size: 0.01, Silhouette Score: 0.10552194647731526, Davies-Bouldin Score: 1.099790452701174, Combined Score: 2.2144427805732443
Clusters: 25, min_samples: 5, xi: 0.1, min_cluster_size: 0.02, Silhouette Score: 0.27452147909939045, Davies-Bouldin Score: 1.2445288272283281, Combined Score: 2.5903155184448696
Clusters: 9, min_samples: 5, xi: 0.1, min_cluster_size: 0.05, Silhouette Score: 0.31658972448564077, Davies-Bouldin Score: 1.2634922747201527, Combined Score: 1.5962734624878046
Clusters: 49, min_samples: 10, xi: 0.01, min_cluster_size: 0.01, Silhouette Score: 0.16999786612846018, Davies-Bouldin Score: 1.122846071236254, Combined Score: 2.352995784037656
Clusters: 28, min_samples: 10, xi: 0.01, min_cluster_size: 0.02, Silhouette Score: 0.2695477084860727, Davies-Bouldin Score: 1.2548073248558613, Combined Score: 2.5770089023492533
Clusters: 10, min_samples: 10, xi: 0.01, min_cluster_size: 0.05, Silhouette Score: 0.23374240260257778, Davies-Bouldin Score: 1.6343648567405944, Combined Score: 2.4623628698651747
Clusters: 49, min_samples: 10, xi: 0.05, min_cluster_size: 0.01, Silhouette Score: 0.21646634287250757, Davies-Bouldin Score: 1.1261422737331532, Combined Score: 2.459952338405635
