Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_62.87%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_62.87%_DBSCAN.png
Program completed in: 11.349927425384521 seconds
ht
Starting DBSCAN clustering at 2024-10-18 00:56:18
Clusters: 49, eps: 0.1, min_samples: 5, Silhouette: 0.42319636735866306, DB Score: 1.0672504405907302, Combined Score: 3.0084416287060374
Clusters: 25, eps: 0.1, min_samples: 10, Silhouette: 0.2684535848030152, DB Score: 1.2208568333904155, Combined Score: 2.577238376609968
Clusters: 19, eps: 0.1, min_samples: 15, Silhouette: 0.14399214125010623, DB Score: 1.1516376535011887, Combined Score: 2.292328666437949
Clusters: 13, eps: 0.1, min_samples: 20, Silhouette: 0.025206332416062766, DB Score: 1.3135017626991838, Combined Score: 2.032032470514196
Clusters: 8, eps: 0.1, min_samples: 25, Silhouette: -0.013008446941850268, DB Score: 1.3724446171895075, Combined Score: 1.9542510992087452
Clusters: 32, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.42848001083341436, DB Score: 1.0167617184362097, Combined Score: 3.0291760696523182
Clusters: 23, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.3599158349899507, DB Score: 1.239422901066995, Combined Score: 2.8139711555505116
Clusters: 18, eps: 0.15000000000000002, min_samples: 15, Silhouette: 0.26364528940143617, DB Score: 1.258672960284764, Combined Score: 2.562016493361274
Clusters: 12, eps: 0.15000000000000002, min_samples: 20, Silhouette: 0.17700399065046454, DB Score: 1.2691094740236974, Combined Score: 2.3555716072730397
Clusters: 13, eps: 0.15000000000000002, min_samples: 25, Silhouette: 0.11102121043524985, DB Score: 1.2432538385019274, Combined Score: 2.2127543285644284
Clusters: 27, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.4471728328461412, DB Score: 1.0313969541322534, Combined Score: 3.0827078752652732
Clusters: 20, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.415490538703742, DB Score: 1.181684793550583, Combined Score: 2.9749828220511962
Clusters: 14, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.31888947958378744, DB Score: 1.312729695765354, Combined Score: 2.698211937402514
Clusters: 11, eps: 0.20000000000000004, min_samples: 20, Silhouette: 0.24447759479560147, DB Score: 1.3363455577732728, Combined Score: 2.508625991468925
Clusters: 9, eps: 0.20000000000000004, min_samples: 25, Silhouette: 0.211775410524091, DB Score: 1.3322818572519544, Combined Score: 2.4307729619878797
Clusters: 26, eps: 0.25000000000000006, min_samples: 5, Silhouette: 0.48340234419065115, DB Score: 0.9726569789062975, Combined Score: 3.19896536228106
Clusters: 18, eps: 0.25000000000000006, min_samples: 10, Silhouette: 0.4452107784499532, DB Score: 1.0803319630696528, Combined Score: 3.0717672730063548
Clusters: 14, eps: 0.25000000000000006, min_samples: 15, Silhouette: 0.36224149136760053, DB Score: 1.347001386937521, Combined Score: 2.811461102952301
Clusters: 10, eps: 0.25000000000000006, min_samples: 20, Silhouette: 0.31268017906004014, DB Score: 1.3715727355728484, Combined Score: 2.677396460453481
Clusters: 9, eps: 0.25000000000000006, min_samples: 25, Silhouette: 0.24861517408243144, DB Score: 1.3715605830179836, Combined Score: 2.5159721638675663
Clusters: 25, eps: 0.30000000000000004, min_samples: 5, Silhouette: 0.4988448461046232, DB Score: 0.9535249953378196, Combined Score: 3.2491745620388874
Clusters: 14, eps: 0.30000000000000004, min_samples: 10, Silhouette: 0.46898539304187126, DB Score: 1.0561214200831073, Combined Score: 3.1457178831310886
Clusters: 15, eps: 0.30000000000000004, min_samples: 15, Silhouette: 0.4166081323008987, DB Score: 1.2643723324468843, Combined Score: 2.9709031037958047
Clusters: 10, eps: 0.30000000000000004, min_samples: 20, Silhouette: 0.33632784762899565, DB Score: 1.4037360674317632, Combined Score: 2.737234793464958
Clusters: 9, eps: 0.30000000000000004, min_samples: 25, Silhouette: 0.30585694975605526, DB Score: 1.390051591973673, Combined Score: 2.658314165091476
Clusters: 28, eps: 0.3500000000000001, min_samples: 5, Silhouette: 0.5051223352152454, DB Score: 1.0036645127057935, Combined Score: 3.263253419218676
Clusters: 16, eps: 0.3500000000000001, min_samples: 10, Silhouette: 0.4619040612847166, DB Score: 0.994424404981761, Combined Score: 3.130897199789099
Clusters: 13, eps: 0.3500000000000001, min_samples: 15, Silhouette: 0.4421580051751641, DB Score: 1.23453280943929, Combined Score: 3.0481609555534934
Clusters: 14, eps: 0.3500000000000001, min_samples: 20, Silhouette: 0.3922479102177943, DB Score: 1.316826547263527, Combined Score: 2.8971149756769305
Clusters: 9, eps: 0.3500000000000001, min_samples: 25, Silhouette: 0.3288089328931336, DB Score: 1.4403892249351011, Combined Score: 2.7146304819774567
Clusters: 26, eps: 0.40000000000000013, min_samples: 5, Silhouette: 0.5093005432640695, DB Score: 0.9842774261054394, Combined Score: 3.2786087028926354
Clusters: 18, eps: 0.40000000000000013, min_samples: 10, Silhouette: 0.4677755605999964, DB Score: 0.8836534473765927, Combined Score: 3.1616809850511576
Clusters: 11, eps: 0.40000000000000013, min_samples: 15, Silhouette: 0.45269028494251135, DB Score: 1.2539531742130459, Combined Score: 3.077831593229609
Clusters: 12, eps: 0.40000000000000013, min_samples: 20, Silhouette: 0.42998964199994344, DB Score: 1.309334013672561, Combined Score: 3.0060590802378853
Clusters: 10, eps: 0.40000000000000013, min_samples: 25, Silhouette: 0.35528170157373684, DB Score: 1.3954019538917415, Combined Score: 2.788817271771824
Clusters: 25, eps: 0.45000000000000007, min_samples: 5, Silhouette: 0.5126526818289121, DB Score: 1.0233955121850105, Combined Score: 3.284940081734373
Clusters: 19, eps: 0.45000000000000007, min_samples: 10, Silhouette: 0.47449154456291587, DB Score: 0.9796348861763932, Combined Score: 3.1708041492036023
Clusters: 13, eps: 0.45000000000000007, min_samples: 15, Silhouette: 0.4675962199814051, DB Score: 1.0934249260118798, Combined Score: 3.1376752482616745
Clusters: 11, eps: 0.45000000000000007, min_samples: 20, Silhouette: 0.4431811671739105, DB Score: 1.2987546067408486, Combined Score: 3.045762178615371
Clusters: 12, eps: 0.45000000000000007, min_samples: 25, Silhouette: 0.40193648617669, DB Score: 1.3671804459923558, Combined Score: 2.920589621381777
Clusters: 25, eps: 0.5000000000000001, min_samples: 5, Silhouette: 0.5149823575277825, DB Score: 1.0276958652448955, Combined Score: 3.291887755499877
