Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_67.74%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_DBSCAN.png
Program completed in: 11.454722166061401 seconds
umn sched_dep_time
Starting DBSCAN clustering at 2024-10-18 01:20:38
Clusters: 45, eps: 0.1, min_samples: 5, Silhouette: 0.3870283978173107, DB Score: 1.101592809797754, Combined Score: 2.9017584488925845
Clusters: 22, eps: 0.1, min_samples: 10, Silhouette: 0.23816331091194506, DB Score: 1.2346722186133727, Combined Score: 2.5017697140619894
Clusters: 19, eps: 0.1, min_samples: 15, Silhouette: 0.18409897557049873, DB Score: 1.2532287893895362, Combined Score: 2.3730931934968806
Clusters: 16, eps: 0.1, min_samples: 20, Silhouette: 0.005607800265027967, DB Score: 1.28440379614511, Combined Score: 1.9965424339399105
Clusters: 2, eps: 0.1, min_samples: 25, Silhouette: 0.031050298985094132, DB Score: 1.737196290331181, Combined Score: 2.0156104955785823
Clusters: 36, eps: 0.15000000000000002, min_samples: 5, Silhouette: 0.44500502524145114, DB Score: 1.0533556699509263, Combined Score: 3.073941053911782
Clusters: 15, eps: 0.15000000000000002, min_samples: 10, Silhouette: 0.33253038178438293, DB Score: 1.2843864782376528, Combined Score: 2.73648220011312
Clusters: 12, eps: 0.15000000000000002, min_samples: 15, Silhouette: 0.26645171183467264, DB Score: 1.3332355091396264, Combined Score: 2.562854892400368
Clusters: 14, eps: 0.15000000000000002, min_samples: 20, Silhouette: 0.19884406315857986, DB Score: 1.278775892272561, Combined Score: 2.404910263133935
Clusters: 15, eps: 0.15000000000000002, min_samples: 25, Silhouette: 0.17230294822165942, DB Score: 1.282493421218812, Combined Score: 2.343798359917669
Clusters: 31, eps: 0.20000000000000004, min_samples: 5, Silhouette: 0.47901788062732775, DB Score: 1.0826351565696037, Combined Score: 3.173653926150948
Clusters: 20, eps: 0.20000000000000004, min_samples: 10, Silhouette: 0.3825999961784749, DB Score: 1.2119722991774347, Combined Score: 2.878957779757227
Clusters: 12, eps: 0.20000000000000004, min_samples: 15, Silhouette: 0.3379514592223624, DB Score: 1.308728927194519, Combined Score: 2.74890860343608
Clusters: 12, eps: 0.20000000000000004, min_samples: 20, Silhouette: 0.2769773263518628, DB Score: 1.33157220837976, Combined Score: 2.5892678023402778
Clusters: 6, eps: 0.20000000000000004, min_samples: 25, Silhouette: 0.24031560323212356, DB Score: 1.4655935039848738, Combined Score: 2.4889752336983135
Clusters: 31, eps: 0.25000000000000006, min_samples: 5, Silhouette: 0.5039086967265864, DB Score: 1.0592652277814087, Combined Score: 3.2534817806594267
Clusters: 19, eps: 0.25000000000000006, min_samples: 10, Silhouette: 0.4171298052216886, DB Score: 1.1871684116876091, Combined Score: 2.9792093605781442
Clusters: 9, eps: 0.25000000000000006, min_samples: 15, Silhouette: 0.3635205552638719, DB Score: 1.4029437169799819, Combined Score: 2.8107156034127634
Clusters: 12, eps: 0.25000000000000006, min_samples: 20, Silhouette: 0.3334709816332892, DB Score: 1.3096886962933014, Combined Score: 2.736904305425541
Clusters: 8, eps: 0.25000000000000006, min_samples: 25, Silhouette: 0.2696366699387586, DB Score: 1.4510241926619838, Combined Score: 2.5619903725793343
Clusters: 28, eps: 0.30000000000000004, min_samples: 5, Silhouette: 0.5156315144044933, DB Score: 1.043736891800215, Combined Score: 3.2922474388928
Clusters: 17, eps: 0.30000000000000004, min_samples: 10, Silhouette: 0.45315390387774557, DB Score: 1.158350758026133, Combined Score: 3.087807922205775
Clusters: 14, eps: 0.30000000000000004, min_samples: 15, Silhouette: 0.3631321589493902, DB Score: 1.30947209613564, Combined Score: 2.8168799110018896
Clusters: 9, eps: 0.30000000000000004, min_samples: 20, Silhouette: 0.36173720045117796, DB Score: 1.3815720643636735, Combined Score: 2.807432366967298
Clusters: 11, eps: 0.30000000000000004, min_samples: 25, Silhouette: 0.3247792374333008, DB Score: 1.3337848045511593, Combined Score: 2.7119918754188763
Clusters: 27, eps: 0.3500000000000001, min_samples: 5, Silhouette: 0.5201366971416024, DB Score: 1.0272789831471445, Combined Score: 3.3083890851901363
Clusters: 18, eps: 0.3500000000000001, min_samples: 10, Silhouette: 0.4664666185766927, DB Score: 1.1839815263976285, Combined Score: 3.1255436462264465
Clusters: 15, eps: 0.3500000000000001, min_samples: 15, Silhouette: 0.4027390354690017, DB Score: 1.272276354528663, Combined Score: 2.9304836932354177
Clusters: 8, eps: 0.3500000000000001, min_samples: 20, Silhouette: 0.3805214399100914, DB Score: 1.4390146813321776, Combined Score: 2.8550307851484313
Clusters: 8, eps: 0.3500000000000001, min_samples: 25, Silhouette: 0.35106820658806454, DB Score: 1.432202906408409, Combined Score: 2.774718479938432
Clusters: 26, eps: 0.40000000000000013, min_samples: 5, Silhouette: 0.5234999997455067, DB Score: 1.0238034909998877, Combined Score: 3.319547021478751
