Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: sched_dep_time
Target column sched_dep_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_67.74%_HC.png
Program completed in: 14.75822925567627 seconds
5618652302, Weighted Score: 8.538373198203116
Cluster count: 6, Silhouette Score: 0.5304702670093363, Davies-Bouldin Score: 1.0861101310430197, Weighted Score: 7.735502440098765
Cluster count: 7, Silhouette Score: 0.5238324148672606, Davies-Bouldin Score: 1.0122639063346413, Weighted Score: 6.62186564163696
Cluster count: 8, Silhouette Score: 0.5399728015771508, Davies-Bouldin Score: 1.0087972471147133, Weighted Score: 5.574521574814765
Cluster count: 9, Silhouette Score: 0.5412599158723578, Davies-Bouldin Score: 0.9903061053001737, Weighted Score: 4.480768566335126
Cluster count: 10, Silhouette Score: 0.5380282574667802, Davies-Bouldin Score: 1.0209219749162912, Weighted Score: 3.366860163161361
Cluster count: 11, Silhouette Score: 0.5309414325317496, Davies-Bouldin Score: 1.1987451741990738, Weighted Score: 3.326240318584225
Cluster count: 12, Silhouette Score: 0.5435985180857502, Davies-Bouldin Score: 1.1447066884304948, Weighted Score: 3.372479466027068
Cluster count: 13, Silhouette Score: 0.5526840021976048, Davies-Bouldin Score: 1.0859351351945818, Weighted Score: 3.4081687200804445
Cluster count: 14, Silhouette Score: 0.5733185875979804, Davies-Bouldin Score: 1.0352088360439038, Weighted Score: 3.482383843198412
Cluster count: 15, Silhouette Score: 0.5870000551047844, Davies-Bouldin Score: 1.0071622925049268, Weighted Score: 3.531918195342377
Cluster count: 16, Silhouette Score: 0.5901631188261052, Davies-Bouldin Score: 0.9329898487801054, Weighted Score: 3.551196965991067
Cluster count: 17, Silhouette Score: 0.6036652427184709, Davies-Bouldin Score: 0.8911796936359105, Weighted Score: 3.602905337569076
Cluster count: 18, Silhouette Score: 0.5930485351911498, Davies-Bouldin Score: 0.9660520235708349, Weighted Score: 3.5572794746906538
Cluster count: 19, Silhouette Score: 0.6091528569918966, Davies-Bouldin Score: 0.9224530013588125, Weighted Score: 3.6182652495407224
Cluster count: 20, Silhouette Score: 0.6094209149950163, Davies-Bouldin Score: 0.923449237086985, Weighted Score: 3.6190845561715475
Cluster count: 21, Silhouette Score: 0.6511787598988338, Davies-Bouldin Score: 0.8635895891192289, Weighted Score: 3.775678605761616
Cluster count: 22, Silhouette Score: 0.6505895853265533, Davies-Bouldin Score: 0.8666020527899395, Weighted Score: 3.7731487476388303
Cluster count: 23, Silhouette Score: 0.6521688422496449, Davies-Bouldin Score: 0.8706410489811038, Weighted Score: 3.778404560317681
Cluster count: 24, Silhouette Score: 0.6548405161248472, Davies-Bouldin Score: 0.8451883943657208, Weighted Score: 3.791414709697242
Cluster count: 25, Silhouette Score: 0.664083847303821, Davies-Bouldin Score: 0.8340834568299111, Weighted Score: 3.826864786984261
Cluster count: 26, Silhouette Score: 0.6371940717647737, Davies-Bouldin Score: 0.8200784235736343, Weighted Score: 3.730626460741634
Cluster count: 27, Silhouette Score: 0.6620531687924813, Davies-Bouldin Score: 0.7962255223904655, Weighted Score: 3.824392578471527
Cluster count: 28, Silhouette Score: 0.6569879269684697, Davies-Bouldin Score: 0.8409904043730861, Weighted Score: 3.7998302250756515
Cluster count: 29, Silhouette Score: 0.669019775698022, Davies-Bouldin Score: 0.813513430706951, Weighted Score: 3.8478636119313734
Cluster count: 30, Silhouette Score: 0.6674978363253014, Davies-Bouldin Score: 0.8943524275646874, Weighted Score: 3.8318864357123603
Cluster count: 31, Silhouette Score: 0.6774754997540975, Davies-Bouldin Score: 0.8545070243147763, Weighted Score: 3.87406726400606
Cluster count: 32, Silhouette Score: 0.679034800920991, Davies-Bouldin Score: 0.8390958260658942, Weighted Score: 3.881896060361898
Cluster count: 33, Silhouette Score: 0.6816050311978051, Davies-Bouldin Score: 0.8155665611769025, Weighted Score: 3.894638924343468
Cluster count: 34, Silhouette Score: 0.6820940048674605, Davies-Bouldin Score: 0.7931150399012156, Weighted Score: 3.899492245363634
