Data loaded successfully.
Text output saved to /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_8.69%_DBSCAN.png
Program completed in: 14.607945919036865 seconds
tarting DBSCAN clustering at 2024-10-18 01:41:51
Clusters: 28, eps: 0.1, min_samples: 5, Silhouette: -0.5198813975091586, DB Score: 1.2227545125525592, Combined Score: 1.2197116800168122
Clusters: 2, eps: 0.1, min_samples: 15, Silhouette: -0.12128500274588702, DB Score: 2.1486625683021785, Combined Score: 1.7204545937908216
Clusters: 11, eps: 0.1, min_samples: 20, Silhouette: -0.31978389667970636, DB Score: 1.8591514670009532, Combined Score: 1.4287544718365337
Clusters: 49, eps: 0.15000000000000002, min_samples: 5, Silhouette: -0.36138239038916176, DB Score: 1.4207852408449995, Combined Score: 1.3981599958378126
Clusters: 13, eps: 0.15000000000000002, min_samples: 10, Silhouette: -0.44200917981764265, DB Score: 1.5818127482469104, Combined Score: 1.2846916475729964
Clusters: 40, eps: 0.20000000000000004, min_samples: 5, Silhouette: -0.21273703016800363, DB Score: 1.4955594575716769, Combined Score: 1.6053986912725025
Clusters: 17, eps: 0.20000000000000004, min_samples: 10, Silhouette: -0.3446754378934815, DB Score: 1.4282057984659104, Combined Score: 1.4199588157960592
Clusters: 8, eps: 0.20000000000000004, min_samples: 15, Silhouette: -0.3985598386639885, DB Score: 1.6585828988199285, Combined Score: 1.3344439703423199
Clusters: 3, eps: 0.20000000000000004, min_samples: 20, Silhouette: 0.007656785706554265, DB Score: 1.849638735001124, Combined Score: 1.964610704871503
Clusters: 28, eps: 0.25000000000000006, min_samples: 5, Silhouette: -0.21435595669571228, DB Score: 1.652187752608015, Combined Score: 1.5931626434355977
Clusters: 15, eps: 0.25000000000000006, min_samples: 10, Silhouette: -0.1724605712548374, DB Score: 1.3015759407715566, Combined Score: 1.6830087531212985
Clusters: 8, eps: 0.25000000000000006, min_samples: 15, Silhouette: -0.29038390367116057, DB Score: 1.5159310046421075, Combined Score: 1.4891284775539844
Clusters: 5, eps: 0.25000000000000006, min_samples: 20, Silhouette: 0.06686942014775776, DB Score: 1.5285631466105043, Combined Score: 2.0994409663086246
Clusters: 3, eps: 0.25000000000000006, min_samples: 25, Silhouette: 0.06749429640333494, DB Score: 1.8201895566401092, Combined Score: 2.0842570095685935
Clusters: 25, eps: 0.30000000000000004, min_samples: 5, Silhouette: -0.11589091932129869, DB Score: 1.5684523373212054, Combined Score: 1.7570888930611437
