Starting K-Means clustering, current time: 2024-10-18 01:42:23
Clusters: 2, Silhouette Score: 0.18287122519421517, Davies-Bouldin Score: 1.9470828689945983, Combined Score: 2.3274190828442234
Clusters: 3, Silhouette Score: 0.20829899391482884, Davies-Bouldin Score: 1.7771920518619986, Combined Score: 2.394183344429878
Clusters: 4, Silhouette Score: 0.23144572548683987, Davies-Bouldin Score: 1.5747555491575942, Combined Score: 2.4604429391120743
Clusters: 5, Silhouette Score: 0.2541103498005483, Davies-Bouldin Score: 1.3845869560876125, Combined Score: 2.5284314738672777
Clusters: 6, Silhouette Score: 0.2583112859514772, Davies-Bouldin Score: 1.1930917778218888, Combined Score: 2.5546157974100043
Clusters: 7, Silhouette Score: 0.2547025433055088, Davies-Bouldin Score: 1.1271524322112487, Combined Score: 2.5519428975877796
Clusters: 8, Silhouette Score: 0.266574179503263, Davies-Bouldin Score: 1.2228485230736814, Combined Score: 2.5723893327208875
Clusters: 9, Silhouette Score: 0.27011265681737934, Davies-Bouldin Score: 1.2909224392485443, Combined Score: 2.5753827113664904
Clusters: 10, Silhouette Score: 0.2679653820467863, Davies-Bouldin Score: 1.2218022119813186, Combined Score: 2.575940040851806
Clusters: 11, Silhouette Score: 0.2717344054814725, Davies-Bouldin Score: 1.2924377279735404, Combined Score: 2.5793038879386403
Clusters: 12, Silhouette Score: 0.28369311773806893, Davies-Bouldin Score: 1.3319213885745973, Combined Score: 2.6061538437568803
Clusters: 13, Silhouette Score: 0.27845179097815553, Davies-Bouldin Score: 1.3580716743467771, Combined Score: 2.590899832634252
Clusters: 14, Silhouette Score: 0.2914995942923007, Davies-Bouldin Score: 1.2661422898216779, Combined Score: 2.631341968257268
Clusters: 15, Silhouette Score: 0.2852906137367068, Davies-Bouldin Score: 1.2618376297237004, Combined Score: 2.6159429836453674
Clusters: 16, Silhouette Score: 0.2991959601277855, Davies-Bouldin Score: 1.1950684505712705, Combined Score: 2.657248285168749
Clusters: 17, Silhouette Score: 0.30596717299944537, Davies-Bouldin Score: 1.1834758311873457, Combined Score: 2.6757439797336824
Clusters: 18, Silhouette Score: 0.3001894666825744, Davies-Bouldin Score: 1.180690391123086, Combined Score: 2.6611143608553878
Clusters: 19, Silhouette Score: 0.3058577692361947, Davies-Bouldin Score: 1.1503517672185577, Combined Score: 2.6785551678539425
Clusters: 20, Silhouette Score: 0.3068462168039998, Davies-Bouldin Score: 1.1072033999415203, Combined Score: 2.6852971278320923
Clusters: 21, Silhouette Score: 0.3034041370131389, Davies-Bouldin Score: 1.1276804963860216, Combined Score: 2.6744011392408122
Clusters: 22, Silhouette Score: 0.3011347280571919, Davies-Bouldin Score: 1.113480178438544, Combined Score: 2.669948088446015
Clusters: 23, Silhouette Score: 0.30412512159054583, Davies-Bouldin Score: 1.0993524394615364, Combined Score: 2.679050969823149
Clusters: 24, Silhouette Score: 0.3094185769738892, Davies-Bouldin Score: 1.0825156106992484, Combined Score: 2.6944363313976236
Clusters: 25, Silhouette Score: 0.30878583068463183, Davies-Bouldin Score: 1.1335799593476386, Combined Score: 2.687737227790884
Clusters: 26, Silhouette Score: 0.29484000999350557, Davies-Bouldin Score: 1.084087779554178, Combined Score: 2.6567513788313772
Clusters: 27, Silhouette Score: 0.32399065755842743, Davies-Bouldin Score: 1.0714981971707265, Combined Score: 2.7336214585239365
Clusters: 28, Silhouette Score: 0.3031808450775429, Davies-Bouldin Score: 1.0941671692319193, Combined Score: 2.677136201247082
Clusters: 29, Silhouette Score: 0.31023855577887777, Davies-Bouldin Score: 1.042689264212321, Combined Score: 2.700692190553805
Clusters: 30, Silhouette Score: 0.3120940641497297, Davies-Bouldin Score: 1.0597299822263309, Combined Score: 2.703724778214276
Clusters: 31, Silhouette Score: 0.30751237978141677, Davies-Bouldin Score: 1.0677532436238295, Combined Score: 2.6910099443079534
Clusters: 32, Silhouette Score: 0.3155253759042468, Davies-Bouldin Score: 1.0502811294847707, Combined Score: 2.7136476912033274
Clusters: 33, Silhouette Score: 0.3065863418283483, Davies-Bouldin Score: 1.1076226630939465, Combined Score: 2.684583579867363
Clusters: 34, Silhouette Score: 0.31028362870452464, Davies-Bouldin Score: 1.0691896773329315, Combined Score: 2.6980435002733563
Clusters: 35, Silhouette Score: 0.3164817629030282, Davies-Bouldin Score: 1.0666596932828374, Combined Score: 2.714438847960205
Clusters: 36, Silhouette Score: 0.3228349950132551, Davies-Bouldin Score: 1.0234450227025107, Combined Score: 2.73564075694136
Clusters: 37, Silhouette Score: 0.3126604992312924, Davies-Bouldin Score: 1.0499127475083234, Combined Score: 2.706223463965346
Clusters: 38, Silhouette Score: 0.31654414209414294, Davies-Bouldin Score: 1.0861405048847175, Combined Score: 2.7126098691289093
Clusters: 39, Silhouette Score: 0.3273355339982534, Davies-Bouldin Score: 1.021829094644994, Combined Score: 2.7476684291601035
Clusters: 40, Silhouette Score: 0.32504659486760007, Davies-Bouldin Score: 1.058399180747841, Combined Score: 2.7377557206135132
Clusters: 41, Silhouette Score: 0.32821883001153995, Davies-Bouldin Score: 1.033622569567212, Combined Score: 2.7487350958743533
Clusters: 42, Silhouette Score: 0.3187540288001276, Davies-Bouldin Score: 1.0544693851960911, Combined Score: 2.7216452303056458
Clusters: 43, Silhouette Score: 0.32959511571510225, Davies-Bouldin Score: 1.0377993554224, Combined Score: 2.751928978649479
Clusters: 44, Silhouette Score: 0.331383983699077, Davies-Bouldin Score: 1.0287560747517697, Combined Score: 2.7576313370046583
Clusters: 45, Silhouette Score: 0.32332750133936183, Davies-Bouldin Score: 1.0297973030526872, Combined Score: 2.73625265443052
Clusters: 46, Silhouette Score: 0.32896179306937945, Davies-Bouldin Score: 1.0340240201511688, Combined Score: 2.750655916595898
Clusters: 47, Silhouette Score: 0.3280748285197809, Davies-Bouldin Score: 1.0216300646348266, Combined Score: 2.7496421508714635
Clusters: 48, Silhouette Score: 0.32582726732994227, Davies-Bouldin Score: 1.0693717513130219, Combined Score: 2.7386765069605636

Best number of clusters: 44
Highest Combined Score: 2.7576313370046583
