Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['ProviderNumber']
Randomly selected target column: EmergencyService
Target column EmergencyService has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_hospital_8.53%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_hospital_8.53%_HC.png
Program completed in: 2.196017265319824 seconds
1, Weighted Score: 7.844807521178458
Cluster count: 6, Silhouette Score: 0.22640924055251316, Davies-Bouldin Score: 2.4733348123084133, Weighted Score: 6.811567703731315
Cluster count: 7, Silhouette Score: 0.2218895106642571, Davies-Bouldin Score: 2.4145672340156765, Weighted Score: 5.702337544662101
Cluster count: 8, Silhouette Score: 0.26638694917354544, Davies-Bouldin Score: 2.265474046468135, Weighted Score: 4.714741412299596
Cluster count: 9, Silhouette Score: 0.24726673760807374, Davies-Bouldin Score: 2.2239908061313063, Weighted Score: 3.5690241324993495
Cluster count: 10, Silhouette Score: 0.2813694878519413, Davies-Bouldin Score: 2.1287504542370197, Weighted Score: 2.556793821776102
Cluster count: 11, Silhouette Score: 0.3057796163647152, Davies-Bouldin Score: 1.9085650024949918, Weighted Score: 2.6278835484530676
Cluster count: 12, Silhouette Score: 0.3233150395375353, Davies-Bouldin Score: 1.9000963334009775, Weighted Score: 2.6739623547533395
Cluster count: 13, Silhouette Score: 0.3442710614136601, Davies-Bouldin Score: 1.6919330390448004, Weighted Score: 2.740021785976377
Cluster count: 14, Silhouette Score: 0.3329300476313378, Davies-Bouldin Score: 1.7039420975596289, Weighted Score: 2.7090862253985066
Cluster count: 15, Silhouette Score: 0.3340140395358664, Davies-Bouldin Score: 1.6955886454141462, Weighted Score: 2.7124231587432006
Cluster count: 16, Silhouette Score: 0.3584801696806666, Davies-Bouldin Score: 1.4517873198656588, Weighted Score: 2.793438795799926
Cluster count: 17, Silhouette Score: 0.354728233072721, Davies-Bouldin Score: 1.433386269937477, Weighted Score: 2.784545245502647
Cluster count: 18, Silhouette Score: 0.3600808516048438, Davies-Bouldin Score: 1.392122076608321, Weighted Score: 2.8021200220610045
Cluster count: 19, Silhouette Score: 0.37801088593090604, Davies-Bouldin Score: 1.3935861621335552, Weighted Score: 2.8513571710965824
Cluster count: 20, Silhouette Score: 0.36687114030541557, Davies-Bouldin Score: 1.389714071511174, Weighted Score: 2.820883704569015
Cluster count: 21, Silhouette Score: 0.38099593625619543, Davies-Bouldin Score: 1.2943524374181046, Weighted Score: 2.867426230021897
Cluster count: 22, Silhouette Score: 0.3869655361448532, Davies-Bouldin Score: 1.3122682207216665, Weighted Score: 2.8826425424290067
Cluster count: 23, Silhouette Score: 0.3909174636617351, Davies-Bouldin Score: 1.2931661226703604, Weighted Score: 2.895294841671046
Cluster count: 24, Silhouette Score: 0.39037761840743473, Davies-Bouldin Score: 1.2758643578373083, Weighted Score: 2.8952133576626347
Cluster count: 25, Silhouette Score: 0.3896241017186977, Davies-Bouldin Score: 1.2930994422433413, Weighted Score: 2.891664488370027
Cluster count: 26, Silhouette Score: 0.3917379003861088, Davies-Bouldin Score: 1.2981028568926156, Weighted Score: 2.8971982649702213
Cluster count: 27, Silhouette Score: 0.3859140432244004, Davies-Bouldin Score: 1.2912485401075544, Weighted Score: 2.881413505647527
