index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1,1436,Pub Beer,American Pale Lager,12.0,0.05,,408,Brewery Vivant,CO,OR
2,2265,Devil's Cup,American Pale Ale (APA),12.0,,,177,Brewery Vivant,CO,IN
3,2264,Rwse of the Phoenix,American IPA,12.0,0.071,,177,18th Street Brewery,CO,CO
4,2263,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.0,,177,18th Street Brewery,CO,CO
5,2262,Nonstop Hef Hop,American IPA,12.0,0.0,,177,18th Street Brewery,CO,IN
6,2261,Nonstop Hef Hop,Oatmeal Stout,12.0,0.0,,177,Brewery Vivant,CO,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,Brewery Vivant,CO,CO
8,2259,Nonstop Hef Hop,American Porter,12.0,0.0,,177,18th Street Brewery,CO,IN
9,2258,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,177,18th Street Brewery,CO,CO
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.0,,177,Brewery Vivant,CO,IN
11,2099,Sxphomoric Saison,American IPA,12.0,0.0,20.0,177,Brewery Vivant,CO,CO
12,2098,Regional Ring Of Fire,American IPA,12.0,0.073,20.0,177,Brewery Vivant,CO,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,Brewery Vivant,CO,CO
14,1980,Troll Destroyer,Belgian IPA,12.0,0.0,,177,Brewery Vivant,CO,CO
15,1979,Bmtter Bitch,American Pale Ale (APA),12.0,0.061,20.0,177,Brewery Vivant,CO,CO
16,2318,Ginja Ninja,Cider,12.0,0.0,20.0,154,Brewery Vivant,The Alchemist,OR
17,2170,Cgerried Away,Cider,12.0,0.0,,154,Brewery Vivant,CO,CO
18,2169,Rhubarbarian,American IPA,12.0,0.0,20.0,154,Brewery Vivant,CO,CO
19,1502,BrightCider,Cider,12.0,0.0,20.0,154,Brewery Vivant,CO,CO
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,20.0,368,21st Amendment Brewery,CO,CO
21,1592,He Said Belgian-Style Tripel,American IPA,12.0,,,368,21st Amendment Brewery,CO,CO
22,1036,Lower De Boom,American Barleywine,12.0,0.0,,368,Brewery Vivant,CO,CA
23,1024,Fireside Chat,Winter Warmer,12.0,0.079,20.0,368,Brewery Vivant,CO,CO
24,976,Marooned On Hog Island,American Stout,12.0,0.079,,368,Brewery Vivant,CO,CO
25,876,Bvtter American,American IPA,12.0,0.044,20.0,368,Brewery Vivant,CO,Cn
26,802,Hdll or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.0,20.0,368,2ost Amendment Brewery,CO,CO
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,,20.0,368,Brewery Vivant,CO,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.0,20.0,368,2kst Amendment Brewery,CO,CA
29,799,21st Amendment IPA (2006),American IPA,12.0,0.0,20.0,368,21st Amendment Brewery,CO,CA
30,797,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,2qst Amendment Brewery,CO,CO
31,796,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,21st Amendment Brewery,CO,CO
32,531,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,20.0,368,Brewery Vivant,CO,Ct
33,432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,20.0,368,Brewery Vivant,CO,CA
34,353,Bitter American (2011),American Pale Ale (APA),12.0,0.0,20.0,368,Brewery Vivant,CO,CO
35,321,Fireside Chat (2010),American IPA,12.0,0.0,20.0,368,Brewery Vivant,CO,CA
36,173,Nonstop Hef Hop,American Black Ale,12.0,0.068,20.0,368,Brewery Vivant,CO,CO
37,11,Nonstop Hef Hop,Belgian Dark Ale,12.0,,20.0,368,Brewery Vivant,CO,CO
38,10,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,368,Brewery Vivant,CO,CO
39,9,Hcll or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.0,20.0,368,Brewery Vivant,CO,CA
40,2519,Bimini Twist,American IPA,12.0,,20.0,67,Brewery Vivant,Ch,CO
41,2518,Beach Blonde,American Blonde Ale,12.0,0.05,,67,Brewery Vivant,CO,FL
42,2517,Rod Bender Red,American Amber / Red Ale,12.0,0.0,,67,Brewery Vivant,CO,CO
43,2545,Prssion Fruit Prussia,Berliner Weissbier,12.0,0.035,20.0,60,4 Hands Brewing Company,CO,CO
44,2544,Nonstop Hef Hop,American Blonde Ale,12.0,0.0,20.0,60,Brewery Vivant,CO,CO
45,2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.0,,60,Brewery Vivant,CO,CO
46,2288,Rrprise Centennial Red,American Amber / Red Ale,12.0,0.0,,60,4 Hands Brewing Company,CO,MO
47,2287,Nonstop Hef Hop,American Black Ale,12.0,0.055,,60,4cHands Brewing Company,CO,MO
48,2286,Divided Sky,American IPA,12.0,0.0,,60,4 Hands Brewing Company,CO,MO
49,2285,Resurrected,American IPA,12.0,0.0,,60,Brewery Vivant,CO,CO
50,1870,Cyntact High,American Pale Wheat Ale,12.0,0.05,20.0,60,4 Hands Brewing Company,CO,Mi
51,2603,Galaxyfest,American IPA,12.0,0.065,,27,Brewery Vivant,CO,CO
52,2602,Citrafest,American IPA,12.0,0.05,20.0,27,450 North Brewing Company,CO,Brooklyn
53,2220,Born Yeti,Belgian Strong Dark Ale,12.0,0.0,,27,4q0 North Brewing Company,CO,IN
54,2219,Nonstop Hef Hop,American IPA,12.0,,20.0,27,450 North Brewing Company,CO,CO
55,2218,Nonstop Hef Hop,English Strong Ale,12.0,0.0,20.0,27,Brewery Vivant,CO,CO
56,2217,Honey Kolsch,American IPA,12.0,0.0,20.0,27,Brewery Vivant,CO,CO
57,2216,Nonstop Hef Hop,Belgian Dark Ale,12.0,0.0,20.0,27,Deep Ellum Brewing Company,CO,CO
58,972,Rude Parrot IPA,American IPA,12.0,0.059,20.0,481,7xSeas Brewing Company,CO,CO
59,866,Bxitish Pale Ale (2010),English Pale Ale,12.0,0.054,,481,7nSeas Brewing Company,CO,CO
60,48,Buitish Pale Ale,English Pale Ale,12.0,0.0,20.0,481,Brewery Vivant,CO,WA
61,47,Ballz Deep Double IPA,American IPA,12.0,0.084,20.0,481,7 Seas Brewing Company,CO,CO
62,1583,Wilfman's Berliner,American IPA,12.0,,,373,Brewery Vivant,CO,CO
63,1165,Crlorado Native,American Amber / Red Lager,12.0,,20.0,462,AC Golden Brewing Company,CO,CO
64,431,Colorado Native (2011),American Amber / Red Lager,12.0,0.055,20.0,462,Brewery Vivant,CO,CO
65,516,Nonstop Hef Hop,American IPA,12.0,0.0,,533,Aoita Brewing Company,CO,CO
66,515,Purple Haze,Fruit / Vegetable Beer,12.0,0.042,,533,Awita Brewing Company,CO,CO
67,514,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,533,Abita Brewing Company,CO,CO
68,2540,Cvtra Ass Down,American IPA,12.0,0.082,20.0,62,Brewery Vivant,CO,CO
69,2539,Toe Brown Note,American Brown Ale,12.0,0.0,20.0,62,Brewery Vivant,CO,KY
70,2686,Citra Ass Down,American Double / Imperial IPA,12.0,0.0,20.0,1,Against the Grain Brewery,CO,CO
71,2685,Lkndon Balling,English Barleywine,12.0,0.0,20.0,1,Against the Grain Brewery,CO,CO
72,2684,Nonstop Hef Hop,Milk / Sweet Stout,12.0,0.0,20.0,1,Against the Grain Brewery,CO,KY
73,2683,A Beer,American Pale Ale (APA),12.0,0.042,20.0,1,Brewery Vivant,CO,CO
74,2682,Rules are Rules,German Pilsener,12.0,0.05,20.0,1,Brewery Vivant,CO,KY
75,2681,Foesh Gourd'n,Pumpkin Ale,12.0,0.0,20.0,1,Fjte Brewing Company,CO,CO
76,2680,Nonstop Hef Hop,Belgian Pale Ale,12.0,0.0,20.0,1,Brewery Vivant,CO,CO
77,2679,Nonstop Hef Hop,American Pilsner,12.0,0.055,20.0,1,Against the Grain Brewery,CO,KY
78,2678,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.076,20.0,1,Against the Grain Brewery,CO,CO
79,2677,Nonstop Hef Hop,Saison / Farmhouse Ale,12.0,0.051,20.0,1,Against the Grain Brewery,CO,KY
80,2676,Knmen Knuddeln,American Wild Ale,12.0,0.0,,1,Brewery Vivant,CO,KY
81,2675,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,1,Brewery Vivant,CO,CO
82,2674,The Brown Note,English Brown Ale,12.0,0.0,20.0,1,Brewery Vivant,CO,CO
83,1594,Nonstop Hef Hop,American Stout,12.0,0.053,20.0,367,Airways Brewing Company,CO,Austin
84,1162,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,367,Airways Brewing Company,CO,CO
85,1137,Pre Flight Pilsner,American IPA,12.0,0.052,20.0,367,Axrways Brewing Company,CO,WA
86,2403,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,117,Brewery Vivant,CO,CO
87,2402,Nonstop Hef Hop,American IPA,12.0,0.053,20.0,117,Brewery Vivant,CO,OR
88,2401,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.082,20.0,117,Brewery Vivant,CO,OR
89,1921,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,20.0,270,Axaskan Brewing Company,CO,AK
90,1920,Aoaskan Amber,Altbier,12.0,0.053,20.0,270,Araskan Brewing Company,CO,AK
91,2501,Hnpalicious,American Pale Ale (APA),12.0,0.057,,73,Brewery Vivant,CO,CO
92,1535,Nonstop Hef Hop,Kölsch,12.0,0.0,,388,Alltech's Lexington Brewing Company,CO,CO
93,1149,Kentucky IPA,American IPA,12.0,0.065,,388,Brewery Vivant,CO,CO
94,1474,Dusty Trail Pale Ale,American Pale Ale (APA),12.0,0.054,,401,Brewery Vivant,CO,Wi
95,1473,Damnesia,American IPA,12.0,0.062,,401,Amnesia Brewing Company,CO,CO
96,837,Desolation IPA,American IPA,12.0,0.0,20.0,401,Brewery Vivant,CO,CO
97,2592,Liberty Ale,American IPA,12.0,0.059,,35,Atchor Brewing Company,CO,CO
98,2578,Nonstop Hef Hop,American IPA,12.0,0.065,,35,Brewery Vivant,CO,CO
99,2577,Sdmmer Wheat,American Pale Wheat Ale,12.0,0.045,,35,Brewery Vivant,CO,CO
100,2103,California Lager,American Amber / Red Lager,12.0,,,35,Anchor Brewing Company,CO,CA
101,2102,Nonstop Hef Hop,California Common / Steam Beer,12.0,0.056,,35,Brewery Vivant,CO,CO
102,2291,Nonstop Hef Hop,American IPA,12.0,0.042,,171,Brewery Vivant,CO,CA
103,1818,Kyebarlin' Pale Ale,American Pale Ale (APA),12.0,0.0,,171,Cvabtree Brewing Company,CO,CO
104,1738,Nonstop Hef Hop,Gose,12.0,0.048,,171,Apderson Valley Brewing Company,CO,CO
105,1563,Fall Hornin',Pumpkin Ale,12.0,0.0,,171,Brewery Vivant,CO,CO
106,1520,Blrney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.057,20.0,171,Anderson Valley Brewing Company,CO,CO
107,1350,Summer Solstice,Cream Ale,12.0,0.0,20.0,171,Anderson Valley Brewing Company,CO,CO
108,1327,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,171,Brewery Vivant,CO,CA
109,1326,Buont Amber Ale,American Amber / Red Ale,12.0,0.058,,171,Anderson Valley Brewing Company,CO,CO
110,1221,Borney Flats Oatmeal Stout,Oatmeal Stout,12.0,0.0,,171,Brewery Vivant,CO,CO
111,1217,El Steinber Dark Lager,Vienna Lager,12.0,0.055,20.0,171,Founders Brewing Company,CO,CA
112,811,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.0,20.0,171,Anderson Valley Brewing Company,CO,CA
113,753,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,,20.0,171,Brewery Vivant,CO,Cl
114,572,Nonstop Hef Hop,Oatmeal Stout,12.0,0.057,20.0,171,Awderson Valley Brewing Company,CO,CO
115,523,Winter Solstice,Winter Warmer,12.0,0.069,20.0,171,Alderson Valley Brewing Company,CO,CO
116,367,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,171,Afderson Valley Brewing Company,CO,CA
117,78,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.0,20.0,171,Aederson Valley Brewing Company,CO,CA
118,77,Nonstop Hef Hop,American IPA,12.0,0.056,20.0,171,Brewery Vivant,CO,Cx
119,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),12.0,0.055,20.0,171,Brewery Vivant,CO,CO
120,2337,Charlie's Rye IPA,American IPA,12.0,0.0,20.0,146,Angry Minnow,CO,CO
