tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,at,AA-1221-MCO-ORD,6:00 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,4:15 p.m.,10:30 p.m.
3,boston,AA-1221-MCO-ORD,6:00 a.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,6:00 a.m.,7:39 a.m.,9:25 a.m.,9:28 a.m.
5,boston,AA-3756-ORD-SLC,6:00 a.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,aa,AA-3468-CVG-MIA,6:00 a.m.,7:25 a.m.,9:00 p.m.,9:45 a.m.
8,boston,AA-1221-MCO-ORD,6:00 a.m.,7:39 a.m.,7:55 p.m.,11:06 a.m.
9,boston,AA-1221-MCO-ORD,11:50 a.m.,12:12 p.m.,3:05 p.m.,11:06 a.m.
10,boston,AA-1221-MCO-ORD,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,boston,AA-1886-BOS-MIA,7:23 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,aa,AA-2957-DFW-CVG,7:55 a.m.,7:39 a.m.,2:35 p.m.,11:01 a.m.
13,boston,AA-1664-MIA-ATL,6:00 a.m.,7:39 a.m.,12:10 p.m.,11:56 a.m.
14,ae,AA-1221-MCO-ORD,7:30 a.m.,8:04 a.m.,2:35 p.m.,8:06 a.m.
15,boston,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,aa,AA-616-DFW-DTW,1:45 p.m.,10:10 a.m.,12:35 p.m.,11:06 a.m.
17,aa,AA-1221-MCO-ORD,11:45 a.m.,7:39 a.m.,2:00 p.m.,11:06 a.m.
18,boston,AA-1221-MCO-ORD,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
19,boston,AA-404-MIA-MCO,6:00 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,AA-1221-MCO-ORD,6:00 a.m.,7:39 a.m.,2:35 p.m.,2:27 p.m.
21,boston,AA-2050-ORD-MIA,6:00 a.m.,7:39 a.m.,2:30 p.m.,11:06 a.m.
22,boston,AA-1221-MCO-ORD,3:35 p.m.,3:36 p.m.,2:35 p.m.,3:33 p.m.
23,boston,AA-1221-MCO-ORD,7:15 a.m.,7:21 a.m.,2:35 p.m.,10:36 a.m.
24,boston,AA-4307-ORD-DTW,7:03 p.m.,6:55 p.m.,2:35 p.m.,11:06 a.m.
25,aa,AA-3-JFK-LAX,6:00 a.m.,7:39 a.m.,2:35 p.m.,11:06 a.m.
26,an,AA-3842-MSP-ORD,6:00 a.m.,7:39 a.m.,2:35 p.m.,7:51 a.m.
27,boston,AA-1221-MCO-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,am,AA-1221-MCO-ORD,4:55 p.m.,7:39 a.m.,8:05 p.m.,11:06 a.m.
29,boston,AA-1221-MCO-ORD,5:11 a.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
30,aa,AA-400-DFW-JFK,6:00 a.m.,11:01 a.m.,3:50 p.m.,11:06 a.m.
31,an,AA-1221-MCO-ORD,10:40 a.m.,10:54 a.m.,12:55 p.m.,11:06 a.m.
32,aa,AA-1522-SFO-ORD,6:00 a.m.,11:55 p.m.,2:35 p.m.,5:50 a.m.
33,boston,AA-1221-MCO-ORD,6:00 a.m.,9:00 p.m.,2:35 p.m.,12:15 a.m.
34,aa,CO,8:25 p.m.,8:25 p.m.,12:57 p.m.,11:50 p.m.
35,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,11:06 a.m.
36,ar,AA-1221-MCO-ORD,8:35 a.m.,7:39 a.m.,2:35 p.m.,11:44 a.m.
37,boston,AA-649-ORD-SNA,1:30 p.m.,7:39 a.m.,3:50 p.m.,11:06 a.m.
38,aa,AA-1221-MCO-ORD,8:20 p.m.,8:39 p.m.,9:20 p.m.,9:20 p.m.
39,aa,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,boston,AA-1917-JFK-MCO,2:55 p.m.,7:39 a.m.,2:35 p.m.,5:43 p.m.
41,boston,AA-1221-MCO-ORD,6:00 a.m.,7:22 a.m.,2:35 p.m.,11:06 a.m.
42,boston,Aa-4277-CVG-JFK,6:00 a.m.,7:39 a.m.,2:35 p.m.,1:43 p.m.
43,boston,AA-789-ORD-DEN,1:05 p.m.,1:19 p.m.,2:35 p.m.,3:13 p.m.
44,boston,AA-415-BOS-ORD,8:35 a.m.,8:56 a.m.,3:27 p.m.,10:16 a.m.
45,aa,AA-85-JFK-SFO,6:00 a.m.,7:39 a.m.,6:30 p.m.,6:43 p.m.
46,boston,AA-1544-SAN-ORD,11:25 a.m.,11:40 a.m.,5:25 p.m.,4:56 p.m.
47,boston,AA-3786-IAH-ORD,4:00 p.m.,4:12 p.m.,6:40 p.m.,6:15 p.m.
48,boston,AA-1221-MCO-ORD,6:00 a.m.,7:31 a.m.,3:30 p.m.,3:14 p.m.
49,ax,AA-3809-PHX-LAX,6:00 a.m.,6:10 a.m.,2:35 p.m.,6:19 a.m.
50,an,AA-1221-MCO-ORD,7:10 a.m.,7:39 a.m.,2:35 p.m.,11:12 a.m.
51,boston,AA-3859-IAH-ORD,7:10 a.m.,7:39 a.m.,9:40 a.m.,9:32 a.m.
52,boston,AA-1221-MCO-ORD,7:00 p.m.,7:14 p.m.,2:35 p.m.,11:06 a.m.
53,boston,AA-518-MIA-JFK,6:00 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
54,boston,Ug-397-JFK-SFO,6:00 a.m.,7:39 a.m.,2:35 p.m.,11:58 a.m.
55,boston,AA-1221-MCO-ORD,8:41 a.m.,8:42 a.m.,9:54 a.m.,9:43 a.m.
56,boston,At-1733-ORD-PHX,6:00 a.m.,7:58 p.m.,2:35 p.m.,10:30 p.m.
57,helloflight,UA-2830-MCO-CLT,6:00 a.m.,7:39 a.m.,5:05 p.m.,5:17 p.m.
58,boston,AA-1221-MCO-ORD,11:25 a.m.,7:39 a.m.,2:35 p.m.,3:31 p.m.
59,boston,AA-1221-MCO-ORD,10:31 a.m.,7:39 a.m.,5:25 p.m.,4:56 p.m.
60,helloflight,AA-1221-MCO-ORD,10:39 a.m.,7:39 a.m.,2:35 p.m.,11:21 a.m.
61,boston,AA-1221-MCO-ORD,6:40 p.m.,7:39 a.m.,2:35 p.m.,6:55 a.m.
62,hnlloflight,UA-414-LAX-SFO,6:00 a.m.,5:56 a.m.,2:35 p.m.,11:06 a.m.
63,helloflight,AA-1221-MCO-ORD,6:00 a.m.,12:41 a.m.,2:35 p.m.,5:26 a.m.
64,helloflight,AA-1221-MCO-ORD,4:00 p.m.,4:00 p.m.,2:35 p.m.,11:06 a.m.
65,hnlloflight,AA-1221-MCO-ORD,6:00 a.m.,7:29 a.m.,9:21 a.m.,9:14 a.m.
66,boston,AA-1221-MCO-ORD,9:45 a.m.,10:19 a.m.,1:16 p.m.,11:06 a.m.
67,htlloflight,AA-616-DFW-DTW,6:00 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
68,boston,UA-3515-IAD-MSP,8:15 a.m.,7:39 a.m.,2:35 p.m.,9:56 a.m.
69,hhlloflight,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,2:35 p.m.,9:45 a.m.
70,boston,AA-1221-MCO-ORD,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
71,helloflight,AA-1886-BOS-MIA,6:00 a.m.,10:55 a.m.,2:20 p.m.,11:06 a.m.
72,hilloflight,CO-62-IAH-EWR,2:30 p.m.,2:48 p.m.,7:03 p.m.,11:06 a.m.
73,boston,AA-1221-MCO-ORD,8:05 a.m.,7:39 a.m.,2:35 p.m.,11:32 a.m.
74,helloflight,AA-1221-MCO-ORD,6:00 a.m.,2:55 p.m.,2:35 p.m.,4:47 p.m.
75,boston,AA-1221-MCO-ORD,6:00 a.m.,12:12 p.m.,2:35 p.m.,11:06 a.m.
76,boston,AA-1221-MCO-ORD,11:40 a.m.,11:56 a.m.,1:17 p.m.,1:14 p.m.
77,helloflight,AA-466-IAH-MIA,6:00 a.m.,7:39 a.m.,2:35 p.m.,11:06 a.m.
78,helloflight,AA-1221-MCO-ORD,11:05 a.m.,11:30 a.m.,8:20 p.m.,11:06 a.m.
79,helloflight,CO-89-IAH-EWR,6:00 a.m.,7:39 a.m.,10:20 a.m.,10:27 a.m.
80,boston,CO-1088-CLE-IAH,8:40 a.m.,8:40 a.m.,2:35 p.m.,10:56 a.m.
81,boston,AA-1221-MCO-ORD,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
82,boston,AA-1221-MCO-ORD,9:55 a.m.,7:39 a.m.,2:35 p.m.,3:30 p.m.
83,helloflight,UA-854-SFO-IAH,7:53 a.m.,7:49 a.m.,1:39 p.m.,1:30 p.m.
84,boston,UA-382-IAD-LAX,12:30 p.m.,12:35 p.m.,3:19 p.m.,3:21 p.m.
85,boston,AA-4344-ORD-DTW,11:45 a.m.,7:39 a.m.,2:35 p.m.,11:06 a.m.
86,boston,AA-1221-MCO-ORD,6:00 a.m.,2:26 p.m.,2:35 p.m.,11:06 a.m.
87,boston,UA-2945-PHL-CLT,6:00 a.m.,3:11 a.m.,2:35 p.m.,1:15 p.m.
88,helloflight,AA-1221-MCO-ORD,6:00 a.m.,5:22 p.m.,8:22 p.m.,8:03 p.m.
89,boston,CO-47-IAH-LAX,7:10 p.m.,8:25 p.m.,8:56 p.m.,9:52 p.m.
90,helloflight,AA-2050-ORD-MIA,6:00 a.m.,11:05 a.m.,2:35 p.m.,11:06 a.m.
91,boston,AA-1221-MCO-ORD,12:57 p.m.,1:32 p.m.,5:15 p.m.,11:06 a.m.
92,boston,AA-4330-CVG-ORD,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
93,helloflight,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,11:55 p.m.,11:06 a.m.
94,boston,AA-1640-MIA-MCO,6:00 a.m.,7:39 a.m.,7:25 p.m.,7:25 p.m.
95,helloflight,AA-4307-ORD-DTW,6:45 p.m.,7:39 a.m.,2:35 p.m.,8:53 p.m.
96,boston,AA-1221-MCO-ORD,12:00 p.m.,7:39 a.m.,2:35 p.m.,11:06 a.m.
97,boston,AA-1221-MCO-ORD,7:15 p.m.,7:15 p.m.,12:21 a.m.,11:06 a.m.
98,boston,AA-1221-MCO-ORD,5:00 p.m.,2:10 p.m.,7:53 p.m.,7:58 p.m.
99,boston,CO-1193-EWR-MCO,6:00 a.m.,7:39 a.m.,12:18 p.m.,12:09 p.m.
100,boston,AA-1221-MCO-ORD,6:00 a.m.,6:56 a.m.,2:35 p.m.,7:51 a.m.
101,boston,AA-643-MIA-ORD,6:00 a.m.,7:39 a.m.,9:35 a.m.,9:31 a.m.
102,boston,AA-1221-MCO-ORD,4:55 p.m.,5:08 p.m.,2:35 p.m.,7:55 p.m.
103,boston,AA-2525-DFW-MIA,6:00 a.m.,7:39 a.m.,11:10 a.m.,11:06 a.m.
104,hblloflight,UA-2906-PHL-MCO,3:50 p.m.,4:28 p.m.,2:35 p.m.,6:38 p.m.
105,boston,UA-938-DEN-ORD,4:16 p.m.,7:39 a.m.,7:35 p.m.,7:36 p.m.
106,boston,AA-1221-MCO-ORD,8:00 p.m.,7:39 a.m.,9:45 p.m.,11:06 a.m.
107,helloflight,CO-16-LAX-EWR,10:25 a.m.,10:20 a.m.,2:35 p.m.,11:06 a.m.
108,helloflight,AA-1221-MCO-ORD,7:05 a.m.,7:39 a.m.,2:35 p.m.,10:47 a.m.
109,boston,AA-1221-MCO-ORD,10:40 a.m.,11:01 a.m.,2:35 p.m.,11:06 a.m.
