index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,1720 university blvd,,empty,,35903.0,35233.0,jxfferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,al_scip-inf-1,,al_scip-card-2
2,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,jefferson,al,35233.0,jefferson,2053258100.0,,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,syrgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,,al_scip-inf-1
3,,callahan eye foundation hospital,1720 university blvd,empty,empty,,al,,,,acute care hospitals,voluntary non-profit - private,acute care hospitals,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
4,10018.0,callahan eye foundation hospital,1720 university blvd,eipty,empty,birmingham,36801.0,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-3,,,empty,al_scip-inf-3
5,10018.0,callahan eye foundation hospital,1u20 university blvd,empty,,birmingham,al,,dothan,2053258100.0,acute care hospitals,voluntary non-profit - private,,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10018.0,callahan eye foundation hospital,,empty,empty,cherokee,,35233.0,jefferson,2053258100.0,acute care hospitals,veluntary non-profit - private,,svrgical infection prevention,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,,callahan eye foundation hospital,1g20 university blvd,empty,,bermingham,al,35233.0,,2053258100.0,acute care hospitals,,aiute care hospitals,sfrgical infection prevention,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
8,10018.0,callahan eye foundation hospital,1720 university blvd,edpty,,birmingham,al,,jefferson,2053258100.0,avute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,,empty,empty,,al,,jnfferson,2563864556.0,acute care hospitals,government - hospital district or authority,acute care hospitals,,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,98%
10,10019.0,hslen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,acute care hospitals,htart attack,ami-2,hrart attack patients given aspirin at discharge,92%,13 patients,al_ami-2
11,10019.0,hwlen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,boaz,2563864556.0,no,government - hospital district or authority,yes,heart attack,ami-3,,,4 patients,al_ami-3
