Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Friday the 13th,2014.0,8 September 1960 (USA),Woody Allen,"Jkseph Stefano,Robert Bloch",Drama,Wsnston Hibler,English,USA,109 min,5.9,6.5,1 user,Drama,"Los Angeles, California, USA","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt0088993,Friday the 13th,2014.0,2014.0,Woody Allen,Woody Allen,Drama,Wsnston Hibler,English,USA,96 min,5.9,6.5,1 user,Drama,"Los Angeles, California, USA",Avsmall group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
tt0032484,Friday the 13th,2014.0,2014.0,Woody Allen,Woody Allen,Drama,Wsnston Hibler,"English,Dutch,Latvian",USA,120 min,5.9,6.5,"124 user,73 critic",Drama,"Hntel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",Add a Plot
tt0889671,Friday the 13th,2014.0,2014.0,Woody Allen,Woody Allen,Drama,Wsnston Hibler,English,USA,96 min,5.9,6.5,1 user,Drama,"Los Angeles, California, USA","Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,Friday the 13th,2014.0,2014.0,Woody Allen,Alexandre O. Philippe,Drama,Wsnston Hibler,English,USA,93 min,5.9,6.5,1 user,Drama,"Los Angeles, California, USA",Ac examination of the widespread fan disenchantment with George Lucas.
tt0065112,Friday the 13th,2014.0,19 December 1969 (USA),Woody Allen,"Leon Uris,Samuel A. Taylor",Drama,"Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph",English,USA,143 min,5.9,6.5,"86 user,46 critic",Drama,"Place Gaillon, Paris 2, Paris, France","AwFrench intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Friday the 13th,2014.0,2014.0,Woody Allen,"Ernest Lehman,Victor Canning","Kcren Black,Bruce Dern,Barbara Harris","Kvren Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",English,USA,120 min,5.9,6.5,"107 user,64 critic",Drama,"Los Angeles, California, USA",Lhghthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0092796,Friday the 13th,2014.0,2014.0,Woody Allen,Woody Allen,Drama,Wsnston Hibler,English,USA,92 min,5.9,6.5,1 user,Drama,"12890 E Main St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt0090021,Friday the 13th,2014.0,2014.0,Woody Allen,"Svephen King,Stephen King",Drama,Wsnston Hibler,English,USA,95 min,5.9,6.5,1 user,Drama,"Los Angeles, California, USA",Add a Plot
tt0102733,Friday the 13th,2014.0,5 March 1992 (Germany),Woody Allen,Woody Allen,Drama,Wsnston Hibler,English,USA,,4.8,,,Drama,"Los Angeles, California, USA",Add a Plot
